points,Number
0.0,16
0.25,11
0.5,663
0.75,116
1.0,2993
1.25,10
1.5,416
1.75,29
2.0,2146
2.25,3
2.5,85
2.75,1
3.0,189
3.5,38
3.75,3
4.0,47
4.5,14
5.0,26
5.25,1
5.5,12
6.0,20
6.5,8
7.0,5
7.5,1
8.0,10
8.5,1
9.5,2
11.0,1
