median,max,min,first_quantile,last_quantile
64.0,5000.0,11.0,45.0,97.0
159.5,8000.0,53.0,97.0,234.0
49.0,8000.0,10.0,26.0,132.0
20.0,99.0,12.0,15.0,30.0
