points,Number
0.0,9
0.25,1
0.5,367
0.75,122
1.0,8679
1.25,6
1.5,1213
2.0,1427
2.5,134
3.0,106
3.5,33
4.0,26
4.5,9
5.0,11
5.5,2
6.0,4
6.5,2
7.0,1
7.5,1
8.5,1
9.0,2
9.5,1
12.0,1
