points,Number
0.0,24
0.25,3
0.5,209
0.75,61
1.0,1998
1.25,10
1.5,235
1.75,1
2.0,543
2.5,73
3.0,41
3.5,10
4.0,9
4.5,3
5.0,1
5.5,5
6.0,2
7.0,2
7.5,1
19.0,1
