points,Number
0.0,23
0.25,2
0.5,814
0.75,75
1.0,6804
1.25,13
1.5,628
1.75,1
2.0,5969
2.5,384
3.0,1054
3.5,203
4.0,276
4.5,90
5.0,99
5.5,30
6.0,60
6.5,19
7.0,16
7.5,9
8.0,23
9.0,18
9.5,1
10.0,2
11.5,1
12.0,3
17.0,1
20.0,1
