points,Number
0.0,28
0.25,11
0.5,906
0.75,49
1.0,2480
1.25,2
1.5,216
1.75,3
2.0,1246
2.25,3
2.5,16
3.0,38
3.5,2
4.0,17
4.5,1
5.0,6
5.5,2
6.0,2
6.5,1
8.0,5
9.0,1
10.0,2
16.5,1
