points,Number
0.0,7
0.5,266
0.75,35
1.0,3264
1.25,2
1.5,310
2.0,2125
2.5,311
3.0,259
3.25,1
3.5,110
4.0,116
4.5,31
5.0,29
5.5,13
6.0,8
6.5,2
7.0,6
7.5,1
8.0,4
8.5,2
9.0,1
9.5,4
10.5,1
11.0,2
12.0,1
13.5,1
18.0,1
