neighbourhood_cleansed,number_of_hosts,number_of_reviews
Colac Otway,"[   357052   4140800   4824121  23012645   5709920   6398917   8857419
   9653994  10353886  10512132   5140385   8229302  10814850  11778616
  11915742   7120658  12300572  12330560   7282388  14773690  12940467
  17271764  17310889  17019721  18494898  18908758  19815049  21021089
  21264137   7863430    425511  22029747   5260129  25044596  25726577
   8237655  27935045   6462474  27720576  26332159  13617482   3713404
 116460490  31445496  33426170  13327650  37106116   2826207  35761592
  25715860   3870872  42071755  42649641  43464684  39087379  42973693
  46354171  46584626  46824591  43923129  47867240  43632288  26021640
    129562  49849507    777831  50706963  18169929  27394197  10973781
  16520398  53986397  54286812   5456857   1453196  57440803  58955741
  60436155  60452879  61348629  61309643  63045414  25410083  66404750
  67835749  68140934  69586920  72243677  75663380  43041744  80823974
   3495921   9751152  87192864  15439957  30878256  84586909  20872025
  79207510  14212743  20709724  56013810  53612074  95962643    255493
  97843374  14312192  99991738  79435449   8460834 102452459 102640375
 103485178 103512703  56237423  19203020  71026348  61885754 105518652
  22936557 107105906  39509099 108191816 111328522 104022814 115554722
 117528550 118886871 119360383  98282819 105241796  43469621   6890529
 125583467  14254792  96144848 127296321 128831152  65390440 131559939
 120174291  47757084 135587463 123783164 137735982 138434019 141233532
 143470949  43722725  75531737 153336239  48911621 155214777   9337376
  30740862    133815 113714944  66802347 158477219  13332933 159878976
 164890193 123373595 165176771 167106967  13055205  88100680  52823338
   7792040 178520221 174988097  35998284  93925679 110868500 181362778
   9298026  19354870  14100937 180420269  85071697 170324619 204330141
  11143086 202891358   8484454 207249864 110918301 215126632   1842081
 127426445  51605270  20785070 206573201 221793145  12398562 131753672
 226743604  22462033  13173774 230846821  13009658  98384524  35243355
 301581060 228988384 245279818 247587831  16481877 125901423 253547892
 257521701   7972105 104525040  28713201 261695094  19867443 270935536
 271141837 275928695   2735592  53105784 273935903 213248831   8937204
 283035742 283071425 121131547 291320322  16881061 184550505  40579857
 303002647  60549990 307318174 139347924 154813436  91374972  39175909
 128836098 317588880  62068858  79760604 321329863 322434233  69753985
   4661323 306643294  35951556 122786096 200061332 333337779 336471403
 140301856   8827511  63945425 177289338 344396118  47583299  58403280
 345910569 346621879  23444000 347630325  49653340  20191491 190054524
 350756742  11215715 358729841 357747016  72033797  36782458 110219481
 138481337 318989484  10084600   2864144  83007177 355654490 103075835
  20544527  83398379  20139994  29653166 143673770  47512101  57816500
 380395274 380488487 381899699 382061191 382215649 382474804 260501203
 153157413 150081290 383853145 186994120  12194827 385152876 385202752
  34631963 147173112 210260701   6730006 134659647 165544436  59658282
  13169074  52370615  39099953 383718303   2310142  15622172 394749694
 342051964  20891188 152554174 400860725  31967079 273161783 404478231
 247902284  30575956 293821021 410356457   7814074  43459528  66845085
 419129975 285553393 261463384 399785357   8833546  39795525  26885339
    119044 253100081  36610234  63328703 431076573  77852909  48642088
  23325438 434440610   2090673 134479015 102541386 399579842 441861179
  22937439 422802381 113937346 446585954 173607307 405674639 450236982
  47007950 452444859 456879283 121993820 129062651  16316173 462792369
  21194089 128819756 457365692 184360977 471964637 323258637 169218503
    725820 473593869 454062877  57437906 156852057 116296147]",65494
Corangamite,"[ 13546459  14059282  18435295  21751514  22098735  30739025  18494898
  21309934  47740689  48222330  30089233  51775506  10357773  52894854
 176090842  71732886  63532478  25575173  38435059  27756695  69698658
 103500288  93034758  43144291 105976136 106755923 110359981  14813803
 119680702 124934005  41037936 110411010 147331500 152421069 154717756
 161178501 158373639  61494003  20744596 177071196  17383151  46745063
 185285379  97171595 195047852    129562 200516071  45788147 216665205
 152687033  32801764 226601255  89248162 231044405 227737099 250004444
 253556653 264395276 131657913 269624566 243045561  17278594 297307676
 258112026 297527497  31418358 303606573 304612934 313644419 314531274
 320328280  25413205  22071615 330284721 330298420  29776231 337309158
 348351299 147566882 360778573  53112899 370386862 371973218     13869
   3134974 212383408  63335791 391470949 281292884 403601114 373447886
 213849467 418812699 377052261 430337527 122449438 431667616 129211960
  26821205  54574976 108517016  23274365  34895609  88037319 179708191
   4542165  49326520 445625880 294143870  76016949   2593362 187349464
 475692395 301778313 476917810 477489614  11024497]",17309
Glenelg,"[  4888844   3046272  10158581  12683575  14863289  16266564  23325958
  27189859  16881855  36011686  36944213  43551725  51002892  44690577
  50679000  11431299  55056985  58501201  41602826  76853398  80375111
 119328168 118945122 129068180 130091655  76826768 133863624 137039857
  22701866  95668874 158101335 138986053 164082926  28539469 152894094
 176101120  15291844  28839538 196896907 137727323  50623064 227876488
 232499284 232840572 128960032 144024374 240108567  93653217 165694751
 262561412 264399970  94585074  99605173 171553290   1348455 304025802
 315971751 170559923 153654045 330313462 218128742 228123976 357013440
  74070908 205611366 235607824 145266810 380262864  38144740   5542024
 385684648 157723567 176498048   8766256  60444706 210436822   2531481
  23506245 397936232 399490084 360960227  46044523 405700691 413414151
 416579379   1772693 425694217 426809285 239481765  98853338 180456562
 439615672 134652806 186851888 243172331 393173700 444679366 105864252
 168984270  97095866  78077256 449026010 451454614  12492601  41440391
 168658349 463012674 399458449 464199726 464851541 349679834 268931214
 188449462 473344134 188270908 124627465]",6994
Greater Geelong,[  1511087   2417695   3429566 ... 425812900 273695815 152864520],65345
Moyne,"[   462049   2766274   3784933  10902275  11007504  11025062  11030818
   8861699  13712146  23276208 159514759  24279632  12521387   2994789
  27350138  28774395  23543229  24052215  35260322  38392581  39078966
  39308915  40342919  40447804  43395419  44160288  44883811  45788147
  38634375  56423700  57059061  57688641   4921537  57990698  58403280
  55203486  59836647  51980575  65018576  59407450  68601670  58379782
  71264335  31371090  77785361  83427832  84517930   9278022  29285308
  96633952  93864260  61281621  17054915 100329264 103171340  99173381
 104869689  14064376  14960190 107587699  49952925  34260250  24559720
  24413648  96273392  24637988 100706559 129077897  73924320 132704867
 135944499 145884384 147126277 148992670  16837199 149491738 155029500
 156811269  78959812 163872635 166903651 167822600 168468779 171176342
 173129803 173460068 173880730 174487420 131353331 138090437  28354791
 155696687 174146335 189744258 195051867 202357846 205792545  23957321
 213433553 215937337   2090445  36489878 226916471 103497413 235575579
  72984623 203492860 240732458  26012258  22639637  48035275  12305713
 113441428  29073515  63461346  35666056 255303776 263162236  71211876
 210612653 265274249 129211960 285123212 107389523 127257288 317035556
 205165814 271744807   7209717 301581060 126336461  22041937 337531967
  51878840  26820528   6794506 371101359 109773402 176090842 376827591
 377154087  85390445 240944949 380380897  33096608  34420615  16881146
 168526950  30185263 299992712 141976023  20744596   5495039  19771827
 154813436  74072647 123970015 394649377    787339  55080362 387064893
 191496689  27297974 412651740 401791755 418985185  13364355 423498967
  81374326 424796154 129784295  54779926  32618641 158373639  36496277
 393186816 244272882 395556826 331087420 201116360 442458962   4729244
 238939516 378433327 113172864 184021766 163877394 185455559 398079519
 373422354  54574976 459670705 329424889 462811181  35537711 228328305
 138065484  28246884 130384487 477755555 190737816]",20973
Queenscliffe,"[  3005560   4456031   6358765   9692808  13045850  17477637  18445503
  18031026  23549449  24882667  27870844   3282368  30534762  20450169
  30114986  44132126  45857100  16795665  21518347  39987768   2282578
  56544494  68445714  57678577  11435458 236928820  98096620 101011984
    325092 106569362   1579764   4734145  44391074 115735730  41314258
  19085730 109276256 129945846  32966021  42333401   4317232  35942454
  28145895 158900584 162874157   5493688  69316866 139401267  19488302
   9583428 207676808  58929254 221960270   2159179   7189641   5203789
  42428631  48220429 237191564 225459189 205417489 449664812  85229543
 116156789 129323140  34094005   1148855 326348323  13494955   1463588
 360406187 373158833  22472013 376692756 378541106  22861425 394344376
  12128914 118406159 134664410 120141007 433897673 407922513  47081547
 450556125 256102206  93320365 132386354 106855666  92199600]",6515
Southern Grampians,"[  4955998  11273845  12269016  16850161  22680942  26870177    792901
  18120453  34159773  17832596  41683001  54284754  54683810  63174412
  62201263  81543776  53897355  94711733  41602826  97174638  71597690
  11710753 117516786 119194334  74970733 122539724 135169589 152802095
 163408359 157988475  42747979  84015929  61331747 195366139 136698069
   2994789  35125999 154769342 224591292  98719053 127905409 113892410
  63044128  16487658 205611366 290614711 292191340  54810289  67184082
 310559998 257476925 319050329 471524178  51628079 307010280  64234826
 108065628   5382946 172713556 366657170 373422144  57974958 123837410
  33879037 376038437 444252088 389834291    190879 447605939  60539450
 435956707  62212713 455410002  12488242 217152067 184959206 463487689
  91945052  55343443  80668100 476147178  35523999 416228943 107968333]",5609
Surf Coast,"[    81292    119103    899909   1875131    246509   2377195   2416415
   3570625   1572722   4036595   4422951    459921   4069063   4731549
   5511143   6154547   6401049   6449378   4549647   7230673   7277677
   7710444   8040161   8641535   8716182   8819052   9541553  10199075
  10661100  12330560  11181664   2650414   2192322  13545834  11466342
  14299990    367737    470109   1787580  16311219  16605212  16357093
  17895331  18110185  19365812  19814649  10397953    136202   3578710
  20047059  20547636  20783972   9360767  21268559  21384989  21469123
  15553766  22347233  22393341  22459029  23232674  23406622   2136236
  14395908  24887362  25056105  25514031  25719381  25863867   9818301
  26083780  26332159   4176062  26656740  26609844   6170914  26967385
  13552901   4244876  26147953  27512837  27617907  27676384  28137204
  12684850  16652697  27329462  29156677  29338524  29471318  29584604
  13552017  30383453  30615022   5995693  32388644  32548414  32797761
  32809619  33797829  34080354  14429061  35731079  32031768  22730944
  15499403  36908996   7659664  16542841  39610543  39577899 462460723
   2027045   8577403  30510407  42000373  19078908  43660247  39118092
  43976674  51678707  17851153  45235436  10817453  27347396  45498806
  46208130  27023689  46671558  46825822  23194931  47789584   8016124
  30570731  31060101  49206400   8206518  49748232  49836999  49511537
  49970430    129562  50675817  14032322  51111592  51748440  52346656
  47744011  52717943  53135026  49847125  28370098   2409331  44640355
  48720625  42797340  27626556  13048705  55176935  55330256  23633941
  55860855  23791504  56547353  54144392  57073396  28780483  57820939
  57917877    490550  26448462  10937394  35260482   9068876  35919887
  28038740  62696623  63649514  63153557  11430418  64698108  13759252
  34648866  19878210  64776722  66986194  67270123  10703615  45582326
  36749889  47677611  70052828  70886408  57188370   1687706  45766074
  73497951  73650862  60326744  53253884   9895204  72008126  75512504
  27717042  44629329  55718247  78937347  79600636  28955622  80646938
  61889211  13142625  12944003  85564624  84586909  26189940  22942830
  28788492  18130636  76293087  91629400  92205525  93928150  29344362
  95508860 236653440  99284758   2272288  13022988  55834593  19021458
 102038110  33583490  15150460  47346018 103640447  39224036  51694345
 104895438 104998811  32095590  72251903   1569198  93235238  35839669
 105533999   8339205   6494663  56794839   1472553  42797746   1248122
  45934951   5977775 106563308 109364754 109779258  76216318   9541665
 110918301 111346199  11805576 111077216 113786757  12654427 115104757
  23601018 116123806  61493061  19540125  24342745  10003042  64098512
  22175544 103620768   1314852    235291  59663188  35275614   3715439
 123795815  51430167  61574780  98421033  98362024  40920569 127483498
     34473 128460998  11024497  35057489  40241826  68457960  20464348
  30666875  38614203 137217994 138691442  19210105  20559022 141440887
 141623136  45408088  62161492 140715306 141290772 146240291 132257660
  53100541 148644639 112823254 130817426 150082375  77599060 151045742
  64717905 151350816 141030768    864461 153367386  29286070  97736635
   8906252  16978949  77446152 155358344  44462254  17534039  10355827
  30238201   9624897  89765123  72054886  88797933  87382473 156871361
  83508604  21154594  38740581  17947544   2865947 122612034  98384524
  95233700 141449561 436105044  44963190 155713504 160137598 160200601
  33622822 111224949  75982096   1099962  50038574  57435658  41759466
 149383443   1353030 153577100 165179223 173429646  94577726 118142564
 168066704 169368038  60568468  28757782 172090028  71438617 171520137
  63323470 172702452   2325318  70412821 175795036 176313354  59188153
  45888481 174148292  81363145    979974 180960840  17093611 117691652
 183663598    505423 182899810   8601463  27338789 146421963  68026760
  23925035 122726542 192377551 194172960  69722377 196051242 196279128
 196549124 196123871  31967079 199598621    541485 214586463  29414883
  57066902 163131049  39575129 125321337 208965693  11049887  58270484
  10141503  55386529 133883651 133204698   4282972   4339399  37656190
  19553908   2769681 211418906  11711091  67364645  56443629  63823208
  30228752 198475000 130214129 146428419  17021748  23278261  81769437
 209189098 215997000  65576735 225282731   4020063 225258195 225791131
   5728459 102402506  10518479  57704291  38646107 154131564  27764976
   3066988  82448186 233249144  66650524  16814636  11637067  39075704
 243079581 223468808  53098383  23441886 248345566  17985720  57989365
   5453265  22414772   6124360  24648877   2551937 253737173 102570173
   4647935  47169040  18909347  26603827  27867653 259705246  61594448
 260496510 261681867 146676099  65703150 146599937 270590174  57716728
  58521297  98644390 276099105 183642050 277237127 282969138  37525071
  40575557  27567813   8680821 279620818 292778627 293084867 114528565
 296643488 172772643  15703747  68965574  47090113 300869750  22067150
 301911083 301926500 302171816   9403513  33010179  53123379  65418102
  42885885 304001470 305189012 305405748   9730498   7370436 135148162
 305649153  26834895  59660279  11535527 310075340 153857097 139321767
 266248259  16846534 169780895 124345891 312459619  59995113 106970890
 274598773 184187902  39878041 315170754    628016    588526   2051062
 317929426 292098354 318864913 243539018 318656568 225842460 286842345
 170497002  45962890 249783935   8545493 327873449   2130191 241941853
  57063425 329535629  57829577  24435582 314989925 334251136 257049936
  35370298 128349091  32546784 337319411  85705998 266843579  15122257
 148420647 339942021  26178828  66867186 340296267   8340590 166701537
 111501228   3679554  13903057   2352365 122425787  93203557 275695196
  42736566  66556297  46261647 347831718 353149415   1997196  44076478
  39370319  36610234   7014511 363392536 364415445  96636488    119044
  16484252 129890103  63673076  21759623 369756816 326086095 140651345
 193502142  50719431  99965342 144719254  27686295  53637789 155354493
  16791606  23675812   3488315  13073000 224559970  59525170   2897307
 198771263 167841557  22596753 125080450  51202204  16480951  35946693
  67874337  50258548   4125205  74035657 376801321 109897847 267982358
  33006194  11914644  28935329  35100266  12161931 122105134  29912108
  16410625   8483733 236724809  29303238  57363527  52166486  80576315
  23838415   1646368  31572626  60256523  59070633 106048309 379898126
  23198026  22699700 380662208   8818821 224927216  16928985 381874874
 376694512  68762970  46211235  48712261  15785687 376349746 167860484
  27122226 382912788 272079337 113595578   1359923  10065780  11859291
   4089181  86050854   5478952   4941112 371334195 384774136  37120056
  37280470  22697313 211585484 231405190 237469089 182878481 104185163
  89264627 388191867 388797191 274163842 389193821   6229919  21717793
 126727355 390608616  78529433 170105062   5929331  20144027 188097826
 223935944  25921184  32818642 193810680    310639  20878015  24437845
 128073841 119343683 185752202 400647045 401345004 401966538  91252361
  73500139   7714591 107307786 405906923 218922435 105097357 157234847
 373320056 254491006 124365784 410030786  14385142  57704381  29886515
  23538070 414801499 415398867 165279814 243023806 209854037 405674639
  94414222 406615635 422934253 120442671  65719624  59037394 345672412
  16151153 118126471  58824506 187598386  26034771 274381459  60477449
  84365310 373402890 131950080 250605453 352370357 227425974  16230598
 426811754  25209840  26661425 338432571 427833811  23905997 428185683
  53362244  61047315  62848978 428704456 386688890   8504409  62015355
  57823647 212399605  32545201  25521704  52293079  85234013  55818533
    929684   7903578 116935023  65699696   1616420  27341747  89623256
  93727529  78730506 431615714 102526947  23678953 101010999 431910536
  46699094 431963327 432285386   2325321  94431258 122567632  49583858
 427158555 309150931 433511773 122745190  92189829 434037062  16560398
 155033501  39850166 174111144  84659866 434801967  86785969 434865866
  76685905 352810833  81190543  59089178 403119598   2149465  12308758
  77176212 131117202  12562678 436175614  64325667   3348403  12818796
  77490503 248365715  89979830 439025352  81821529 132270560  49570923
 439913761  11054373 301778313 159069780 209385208  66972121   9923256
 442419093  69485278  52916477   2988363 440260664 389702569 339803614
 150078379   1314831 112034787 158234686 447151414    530914   3265263
 251427183 150476240  15665444  60589093 376347541  33249133 421199628
  26553376 394445307 449931985 449309682 109904279  35130723 188940743
  80905436 166706369 441542734  29493769  60671720  42953823   1016907
  56666453   6679606  17709155 453570738 148884186 129945846 453706050
 241600681 208337974    253550 251822873 263061769 456714324    457959
  28427660  46744920 347972568  30252693 460099491 172734909  87451122
 461433897 464079802 140705320  34610933 354956668   4661684 190062728
 256102206  65275508  50702407   3774651 468605277  78705495  53495400
 471398940  61730331 253196471 472863832 386929154 473218050 210690567
  47928293 145025595 116477306   3705438 156467906  83809018  79382966
  93751397  23089815 426379312  78045098   6217276  16321913 153697711
   9457307 480401415 129814737 390190584  54006829  18185994 168225605
 224058202 171686545  18792033 100606137]",65771
Warrnambool,"[  5102281   4647935   5038885  10800241  20674420  23234296  24874226
  12484941  25326958  29561205  28027769  34700255  35537711  36493204
  39302741  45493018  25471658  49447740   8530057  13080031  28524785
  50070276 453142892  55051139  57059061  57201560   3794683  29911187
  62090677  63290539  26191616  67157100  66142205  12070565  71722881
  60832304  78781169  89613769  92536152  94720087  26086001  10301537
 100856485 103645734  26140684 107753469 109415437 109588946  24424185
  43723382 118009614  98629186 121452319   9521305 126358945  21895294
  14707929 127420090 126708278 105237142 128208370  14103992 132304823
  61909199 130393089  68601670 143483861 126989844  36496277  12407461
 153347162  51980575  55216431 161516870  92239417 163877394 165125057
 170875662 171714384 174485205 175928234  99688889 176705712  58001477
 186875339  91565000 191267545 198527064 178674397 153454176   7923175
 205157644   9338807 216801657  21655442 222349954 113467040  31439260
 155502406   4485993  45792803 214935639  39482571 202912943  26232158
 109563984  71418200 189439360  69488485  31695566 264617022 111669163
 173093061  98548795 290852864 292068385  84578847 303771258 304202663
 148881983  61015516 221946653  40360803 143224900 323779570 301613146
 305645793 178174079  18025304   1904828  60583780  15367378 298239032
 374213020  37657917 368237741 374962202  15944853 233428193  20712095
 120194491  59694651 213433553 212360831 206335183 382944676 152556393
 145750020 146700211  11883143 396830875  16760023 387051512 403148589
 405207359  95660523 410392372 377448101  33955248 154813436 418996676
  32535561  22860212 397058533   9656081 339951318 432278154 427906185
 434593152 162431587  52735197 435771646 324753921  23598177 439957011
 195505375 134331424 104616303  76513249   6935367 113327433 158373639
 222978987 192151353  42499814 174811361 221945104 451746733 155830598
 109178985  59284464 458161490 330570951 112033342 143444723 465491914
   5620637 452655107 226781451 104700941 444381069]",23324
