points,points
0.0,18
0.25,1
0.5,171
0.75,6
1.0,2287
1.25,4
1.5,385
2.0,2152
2.5,527
3.0,284
3.5,72
4.0,31
4.5,9
5.0,5
5.5,3
6.0,2
6.5,1
7.0,1
8.0,2
9.0,1
12.5,1
15.0,1
