points,Number
0.0,9
0.25,1
0.5,57
0.75,19
1.0,1485
1.25,11
1.5,154
2.0,1119
2.5,92
3.0,428
3.5,72
4.0,114
4.5,21
5.0,49
5.5,13
6.0,10
6.5,2
7.0,6
7.5,4
9.0,1
9.5,1
