points,Number
0.0,51
0.25,5
0.5,555
0.75,145
1.0,4448
1.25,5
1.5,729
1.75,1
2.0,2903
2.5,567
2.75,1
3.0,294
3.5,92
4.0,49
4.5,21
5.0,10
5.5,1
6.0,7
6.5,2
7.0,2
7.5,1
8.0,4
8.5,1
10.0,2
