points,Number
0.0,13
0.25,4
0.5,400
0.75,176
1.0,4334
1.25,26
1.5,1221
1.75,8
2.0,962
2.5,164
3.0,88
3.5,23
4.0,21
4.5,7
5.0,22
5.5,10
5.75,5
6.0,13
6.5,1
7.5,1
8.0,1
9.0,1
10.0,2
11.5,1
12.0,3
13.0,1
