room_type,median,max,min,first_quantile,last_quantile
Entire home/apt,166.0,3600.0,20.0,124.0,237.0
Hotel room,0.0,0.0,0.0,0.0,0.0
Private room,81.0,999.0,13.0,60.0,109.0
Shared room,60.0,105.0,35.0,55.0,75.0
