points,Number
0.0,14
0.25,20
0.5,465
0.75,110
1.0,1468
1.25,34
1.5,341
1.75,2
2.0,935
2.25,9
2.5,64
2.75,2
3.0,95
3.25,3
3.5,7
3.75,2
4.0,66
4.5,10
5.0,13
5.25,1
6.0,16
6.5,3
7.0,2
7.5,2
7.75,1
8.0,4
8.25,1
8.5,3
9.0,1
10.0,1
