points,Number
0.0,35
0.25,12
0.5,891
0.75,118
1.0,4119
1.25,14
1.5,318
1.75,9
2.0,2617
2.25,2
2.5,115
3.0,192
3.5,28
4.0,34
4.5,13
5.0,5
5.5,2
6.0,9
8.0,2
8.5,1
10.0,1
11.5,1
12.0,1
24.0,1
