median,max,min,first_quantile,last_quantile
414.0,11000.0,70.0,274.0,676.5
272.0,1556.0,166.0,204.25,301.0
169.0,5000.0,50.0,110.0,236.0
9999.0,9999.0,9999.0,9999.0,9999.0
