points,Number
0.0,10
0.25,9
0.5,466
0.75,29
1.0,3186
1.25,9
1.5,228
2.0,1295
2.5,167
3.0,70
3.5,53
4.0,21
4.5,7
5.0,4
5.5,2
6.0,5
6.5,2
7.0,3
8.0,1
10.0,1
