points,Number
0.0,8
0.25,22
0.5,465
0.75,34
1.0,4406
1.25,9
1.5,282
1.75,1
2.0,2372
2.5,71
3.0,200
3.5,18
4.0,40
4.5,4
5.0,18
5.5,4
6.0,12
6.5,1
7.0,1
8.0,3
9.0,2
17.0,1
