points,Number
0.0,50
0.25,8
0.5,1143
0.75,193
1.0,3796
1.25,15
1.5,558
1.75,1
2.0,1728
2.5,93
3.0,130
3.5,26
4.0,24
4.5,4
5.0,12
5.5,6
6.0,2
6.5,1
7.0,4
8.0,1
9.0,2
10.0,1
13.0,1
18.0,2
40.0,1
