neighbourhood_cleansed,number_of_hosts,number_of_reviews
Boulder City,17,1144
City of Henderson,400,24543
City of Las Vegas,1277,58218
City of Mesquite,57,2653
City of North Las Vegas,352,20737
Nellis AFB,4,86
Unincorporated Areas,4255,317063
