points,Number
0.0,124
0.25,33
0.5,4365
0.75,763
1.0,18769
1.25,121
1.5,1750
1.75,69
2.0,12473
2.25,2
2.5,2431
2.75,1
3.0,1984
3.5,827
4.0,765
4.25,1
4.5,395
5.0,203
5.5,246
5.75,1
6.0,119
6.5,75
7.0,56
7.5,27
8.0,51
8.5,26
9.0,17
9.5,6
10.0,19
10.5,2
11.0,2
11.5,2
12.0,8
12.5,3
13.0,3
13.5,1
15.0,1
15.5,1
21.0,1
25.0,1
