points,Number
0.0,33
0.25,8
0.5,1563
0.75,78
1.0,7570
1.25,3
1.5,582
2.0,916
2.5,57
3.0,77
3.5,7
4.0,20
4.5,3
5.0,6
6.0,3
7.0,3
