median,max,min,first_quantile,last_quantile
200.0,7900.0,15.0,143.0,285.0
222.0,999.0,0.0,114.5,271.0
130.0,1657.0,25.0,94.0,198.0
75.0,500.0,45.0,66.0,94.0
