points,Number
0.0,14
0.5,179
0.75,49
1.0,2845
1.25,3
1.5,249
1.75,1
2.0,1741
2.5,661
3.0,501
3.5,635
4.0,466
4.5,114
5.0,47
5.5,19
6.0,45
6.5,15
7.0,33
7.5,4
8.0,53
8.5,5
9.0,19
9.5,4
10.0,1
10.5,2
12.0,6
12.5,2
13.0,1
13.5,3
14.0,1
16.0,7
17.0,1
17.5,2
18.0,1
19.0,1
