room_type,median,max,min,first_quantile,last_quantile
Entire home/apt,1200.0,1841450.0,85.0,829.0,1841.0
Hotel room,1473.0,178456.0,0.0,1066.0,2174.0
Private room,530.5,999999.0,57.0,313.0,1017.0
Shared room,300.0,60000.0,60.0,203.0,560.0
