points,points
0.0,5
0.5,141
0.75,13
1.0,1289
1.5,62
1.75,2
2.0,1144
2.5,54
3.0,116
3.5,32
4.0,48
4.5,16
5.0,15
5.5,6
6.0,16
6.5,3
7.0,6
7.5,2
8.0,9
8.5,1
9.0,1
10.0,3
11.0,2
12.0,2
12.5,1
13.0,1
17.0,1
