,price,price,price,price,price
,median,max,min,first_quantile,last_quantile
room_type,,,,,
Entire home/apt,202.0,12300.0,22.0,131.0,303.0
Hotel room,192.0,604.0,48.0,131.0,301.0
Private room,172.0,6090.0,25.0,121.0,250.0
Shared room,53.0,998.0,20.0,40.0,303.0
