neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ani̬res,14,438
Avully,5,52
Avusy,3,210
Bardonnex,61,1146
Bellevue,58,1279
Bernex,7,22
Carouge,52,1195
Chancy,8,328
Ch̻ne-Bougeries,25,660
Ch̻ne-Bourg,21,198
Collex-Bossy,59,1419
Collonge-Bellerive,12,126
Cologny,13,280
Commune de Gen̬ve,1037,44102
Confignon,5,50
Corsier,4,8
C̩ligny,22,1147
Dardagny,16,273
Genthod,6,11
Grand-Saconnex,50,1675
Gy,11,174
Hermance,7,82
Jussy,16,284
Laconnex,1,7
Lancy,37,913
Meinier,3,11
Meyrin,82,2926
Onex,15,548
Perly-Certoux,55,1032
Plan-les-Ouates,17,314
Pregny-Chamb̩sy,12,216
Presinge,64,968
Puplinge,150,4133
Russin,1,6
Satigny,49,887
Soral,13,639
Th̫nex,212,5869
Troinex,12,185
Vandoeuvres,4,64
Vernier,39,1329
Versoix,59,835
Veyrier,32,607
