room_type,median,max,min,first_quantile,last_quantile
Entire home/apt,128.0,9999.0,3.0,97.0,199.0
Private room,53.0,1700.0,10.0,41.0,74.0
Shared room,22.0,2515.0,12.0,18.0,30.0
