neighbourhood_cleansed,number_of_hosts,number_of_reviews
San Cono,3,6
San Filippo del Mela,9,123
San Fratello,3,25
San Giovanni Gemini,9,138
San Giovanni la Punta,25,379
San Giuseppe Jato,3,5
San Gregorio di Catania,25,300
San Marco d'Alunzio,18,246
San Mauro Castelverde,9,320
San Michele di Ganzaria,4,19
San Pier Niceto,12,243
San Piero Patti,6,5
San Pietro Clarenza,6,368
San Salvatore di Fitalia,2,1
San Teodoro,2,0
San Vito Lo Capo,793,15834
Sant'Agata di Militello,41,157
Sant'Agata li Battiati,8,154
Sant'Alessio Siculo,72,526
Sant'Alfio,30,270
Sant'Angelo Muxaro,1,0
Sant'Angelo di Brolo,12,157
Santa Caterina Villarmosa,5,7
Santa Cristina Gela,3,11
Santa Croce Camerina,273,1705
Santa Domenica Vittoria,4,2
Santa Elisabetta,6,119
Santa Flavia,125,3412
Santa Lucia del Mela,7,45
Santa Margherita di Belice,16,46
Santa Maria di Licodia,12,260
Santa Marina Salina,62,1012
Santa Ninfa,8,47
Santa Teresa di Riva,83,569
Santa Venerina,54,1260
Santo Stefano Quisquina,2,18
Santo Stefano di Camastra,35,663
Saponara,3,38
Savoca,23,259
Scaletta Zanclea,11,50
Sciacca,382,5239
Sciara,1,6
Scicli,531,7211
Scillato,5,275
Sclafani Bagni,6,153
Scordia,9,77
Serradifalco,3,34
Siculiana,46,654
Sinagra,6,3
Siracusa,2134,83600
Solarino,42,541
Sommatino,2,0
Sortino,20,206
Spadafora,18,100
Sperlinga,5,162
Sutera,2,10
Taormina,743,41165
Terme Vigliatore,42,532
Termini Imerese,58,663
Terrasini,193,3107
Torregrotta,20,265
Torrenova,30,360
Torretta,16,130
Tortorici,10,48
Trabia,115,985
Trapani,651,21825
Trappeto,143,1729
Trecastagni,108,1152
Tremestieri Etneo,10,67
Tripi,7,17
Troina,6,18
Tusa,46,412
Ustica,61,1035
Valderice,153,2881
Valdina,5,20
Valguarnera Caropepe,2,4
Valledolmo,1,1
Vallelunga Pratameno,1,2
Valverde,18,557
Venetico,31,141
Ventimiglia di Sicilia,2,0
Viagrande,64,537
Villabate,3,16
Villafranca Sicula,4,165
Villafranca Tirrena,21,47
Villafrati,1,10
Villalba,1,0
Villarosa,6,15
Vita,10,13
Vittoria,149,836
Vizzini,9,42
Zafferana Etnea,95,1650
