points,Number
0.0,64
0.25,22
0.5,1330
0.75,141
1.0,31300
1.25,17
1.5,2841
1.75,1
2.0,15542
2.25,2
2.5,854
2.75,3
3.0,1967
3.25,1
3.5,244
4.0,699
4.5,142
5.0,361
5.5,67
6.0,163
6.5,35
7.0,84
7.5,26
8.0,37
8.5,7
9.0,23
9.5,6
10.0,19
10.5,3
11.0,8
11.5,2
12.0,4
12.5,1
13.0,2
13.5,1
14.0,1
15.0,1
16.0,2
17.0,1
19.0,1
25.0,1
30.0,1
