points,Number
0.0,80
0.25,28
0.5,702
0.75,129
1.0,7820
1.25,40
1.5,1252
1.75,11
2.0,5183
2.25,21
2.5,333
2.75,7
3.0,326
3.25,9
3.5,131
3.75,2
4.0,206
4.25,1
4.5,49
4.75,3
5.0,56
5.5,14
6.0,38
6.5,12
7.0,6
7.5,3
8.0,17
8.5,5
9.0,5
9.5,1
10.0,5
10.5,2
11.0,3
12.5,1
13.0,1
15.0,3
20.0,1
23.0,1
24.0,1
30.0,2
39.0,1
40.0,1
50.0,2
