room_type,median,max,min,first_quantile,last_quantile
Entire home/apt,104.0,60000.0,10.0,80.0,145.0
Hotel room,86.0,311.0,35.0,53.0,115.25
Private room,36.0,5000.0,9.0,26.0,52.0
Shared room,22.0,145.0,13.0,17.0,43.0
