points,Number
0.0,16
0.25,1
0.5,453
0.75,30
1.0,3758
1.25,3
1.5,284
1.75,1
2.0,2646
2.5,61
2.75,1
3.0,164
3.5,15
4.0,40
4.5,2
5.0,18
5.5,3
6.0,6
6.5,1
7.0,2
9.0,1
