points,Number
0.0,10
0.25,10
0.5,1264
0.75,284
1.0,3761
1.25,20
1.5,488
1.75,2
2.0,677
2.5,74
3.0,13
3.5,5
4.0,2
5.0,1
5.5,1
12.0,1
13.0,1
13.5,1
23.0,1
24.0,1
