points,Number
0.0,3
0.25,2
0.5,355
0.75,55
1.0,1790
1.25,15
1.5,132
1.75,5
2.0,584
2.5,73
3.0,66
3.5,18
4.0,10
4.5,3
5.0,6
5.5,1
6.0,3
7.0,2
9.0,1
