room_type,median,max,min,first_quantile,last_quantile
Entire home/apt,1340.0,300000.0,154.0,850.0,2700.0
Hotel room,1406.5,45000.0,230.0,957.5,2700.0
Private room,700.0,75000.0,170.0,450.0,1200.0
Shared room,300.0,3050.0,164.0,200.0,625.0
