points,Number
0.0,13
0.25,4
0.5,393
0.75,93
1.0,1077
1.25,5
1.5,210
2.0,436
2.5,70
3.0,39
3.5,16
4.0,4
4.5,5
5.0,6
6.0,1
7.0,1
12.5,1
