median,max,min,first_quantile,last_quantile
120.0,3000.0,19.0,93.25,169.0
104.5,220.0,0.0,0.0,164.0
72.0,9999.0,25.0,54.0,106.75
41.0,9999.0,19.0,33.5,44.25
