points,Number
0.0,7
0.25,1
0.5,271
0.75,59
1.0,3004
1.25,4
1.5,218
1.75,2
2.0,725
2.5,143
3.0,97
3.5,31
4.0,17
4.5,1
5.0,4
5.5,4
6.0,3
7.5,1
12.0,1
