points,Number
0.0,16
0.25,4
0.5,300
0.75,42
1.0,15952
1.25,7
1.5,2143
2.0,8241
2.25,1
2.5,589
3.0,1497
3.25,1
3.5,355
4.0,641
4.5,228
5.0,318
5.5,123
6.0,192
6.5,80
7.0,109
7.5,56
8.0,82
8.5,30
9.0,36
9.5,7
10.0,26
10.5,8
11.0,12
12.0,11
12.5,1
13.0,7
13.5,3
14.0,6
15.0,3
16.0,5
16.5,2
17.0,6
17.5,1
18.0,2
18.5,1
19.0,3
20.0,4
21.0,2
22.0,1
23.0,2
28.0,1
35.0,1
