median,max,min,first_quantile,last_quantile
134.0,65111.0,11.0,80.0,270.0
129.5,8000.0,30.0,76.0,232.5
110.0,25014.0,12.0,65.0,213.0
27.5,1926.0,10.0,20.0,59.75
