points,Number
0.0,1
0.25,1
0.5,113
0.75,59
1.0,417
1.5,289
2.0,120
2.25,3
2.5,7
3.0,17
3.5,6
4.0,1
5.0,1
6.0,1
7.0,1
7.5,1
8.0,1
23.0,1
