room_type,median,max,min,first_quantile,last_quantile
Entire home/apt,194.0,23000.0,1.0,125.0,328.0
Hotel room,189.0,3004.0,0.0,142.0,268.0
Private room,67.0,10000.0,5.0,50.0,109.0
Shared room,35.0,700.0,15.0,25.0,75.0
