points,Number
0.0,97
0.25,4
0.5,1080
0.75,295
1.0,7434
1.25,24
1.5,777
1.75,1
2.0,5245
2.5,1426
3.0,896
3.5,352
4.0,295
4.5,158
5.0,74
5.5,47
6.0,33
6.5,26
7.0,11
7.5,13
8.0,11
8.5,2
9.0,2
9.5,2
10.0,4
10.5,3
11.0,1
11.5,1
12.0,1
13.0,1
17.0,2
