points,Number
0.0,38
0.25,3
0.5,822
0.75,157
1.0,6707
1.25,16
1.5,437
1.75,1
2.0,3671
2.25,3
2.5,826
3.0,777
3.25,8
3.5,223
4.0,213
4.5,87
5.0,79
5.5,38
6.0,28
6.5,19
7.0,12
7.5,3
8.0,8
8.5,1
9.0,1
9.5,1
10.0,2
11.0,1
16.5,1
27.5,1
