points,points
0.0,9
0.25,1
0.5,56
0.75,17
1.0,1733
1.5,222
2.0,1336
2.25,1
2.5,220
3.0,240
3.5,74
4.0,35
4.5,7
5.0,6
5.5,2
6.0,1
7.0,3
8.0,1
8.5,1
13.0,1
