neighbourhood_cleansed,number_of_hosts,number_of_reviews
Bellingen,"[   369209   4020173   4590054   4638933   4873960   5761037   5978247
   7508324   6417002   9712428   7294739   1379052  10517394  22419961
  36196818   2472263  55631177  61350232  26569278   3337278  31250177
  20389713   7138615    356802  94678999  17093967   1624979 116774498
  28439065  53079557  43485792 131441328 134591489  51111542  11958686
  21816986  10336578  10223282 125742667 162586892 163269827  24213993
  21620856   6017207 172060067  12486645 175341125  66741701 180585447
 182561323 162461155  98269598  15630383 189880424 166660612  33699331
  50423076 172069101 207719311  37752853 215613180 223925247  75660790
  28782105   8488501 191278923  15686247 234598944 239452693 104441964
  43023156 237389634  20137483  81536498 263140108 268878219  77154620
  38120537 279616640   8226136 144221273 196095477  63398082   7658613
 295001161 304769275 279056476 325479793   1936257 183464793 336928613
 280243488 346775297  13252994  49690257 150021067 351108741  35849903
 127939114  70638943  97477425 372126003  88093841  20392329 374462471
    127785  20711684 377255174 377390699 108945293  14987757  75671618
  57365411 385410132  83652224  28078051 172456810 246255670 387192223
  19023231 221020801  65240785  46129985   1743734 402987404   1411673
   9954505  97309690 412789742 403991636 100088347  29558371  23574894
  35660753 308887403  96898808  15412508 382404175 128474929  47170259
  43758739  12102525  12744412 440522304 146272346 378057087 127915284
 446849167 449283616 129379206 450542480  67551252 254432994   4011722
  12495227   3276446  43321844 461788122 462611288  16266967  22024887
 394588288 472822470 151219457  12295212  34553477   3364138  18186151
  24947048  25710494  25814471  14352578  27758982    493465  30512315
  28267375]",16632
Coffs Harbour,"[  4731330   4912006   4581245   5257735   6005579   6845855   7043705
   7600815  13142379  13620401   5451959  15195937  15745469  51772474
  51963624  55039714  48811148  14209350  19093788 147996580  46532419
  19313377  16478227  60122643  75831378  77399184  79949612  14259068
  21706576   8829556  60458740  70878118  81617745  73623512  91371202
  78250336  44472397  22105915 100088347  58407177 104577624 109522152
 105257862  38732822  79398315   4646622 109939022 111031551  70413886
  11860640 111234328  45646366 118122602  43730711  15458047  55618248
  21023979 119720475  12468671 127239916  78797425 131109115    306145
  34573179   4690321  16846192 101895802  47827495 110050798 136538197
  27548227   8768371 314330135 126193394 145422896  66699305 146261843
 146384244 146962559   8314929 150175205  24298982  43536827  11088088
 111200476 152173866 152875778  12979853  90194682 158109071 158796515
  20702696 156611004  13754639 113320283 160265908    235109 160263465
 111030061 160783963    933280   6397995 165142285  12245124  20450651
  56670668  23533155 168947311  27717363 162044647  20373247 119161336
 175612127  14170888 183468527 184719108  98419015 105536085 188226979
 165044894   2135598  31618819 193973296 194837801  46185872 105879338
 177886767 200072192 201449558 148984270  34988485 205156502  23983811
 133676718  43977613 186587611  66170531  27721626  34907214  46962299
 216971433 217154008  44064833 187046596   2930623 222324846  13046219
 224212489 223590871 172456810 174133145 123494957 227203462 115889768
  94405005  22585339  66412792 233412244 212588009 235610491  46186100
 237739437  94419630  52975575  73615368  61294153  97296642 244651331
  24388128  31312782 180845105  26068274 241329648 239031886 160501317
  41600238 239185541 257669948 115963188 105864521 259113960 257641205
  97309690 263356951 234470806  91054721 268428999 267238392  22351266
 275442087 259300386  21939026 276717433 283929024 154264367  30186411
 289732249 290005610 290854782  94947961 299823109     95579  35750161
  20412172  40773463  35458673  44463016 292395418 293851402  11252878
 161895971 264347084 224875546 312985279  75317896  13153543  47918227
  23041942 218320671 318292076  24056198 324375364   8862218 331809422
 331852859  11524823   7234933   2658099 219021112  33534737 152532471
 166686639 151749313 218998538 194432924 249510531 352633420  40776358
  11318895  58100469 329825826 359104137  57714279  10424706 363172836
  11379127  78334344  89460769   2461653  55758919 181730473 371347934
  53220096 273389371  21476658  90330409 310230585 191765463   4360705
  48210352 375579159    775088 150793794   1711652  91424659   4317082
 377158321   2135288 377855515 143957197  87197838  57471612 380377886
  22087246 162518367 349735400  36196818 381148212  42355254  26566664
 383396077  59084512 384288598 116912718 387372001 107480599 120324697
  24712167 389274280 272393992 144541800 391475522 115987727 378423099
 165541082   2210202  91414389  34696777  24128048 179621935 243210318
  11028242  12455545 335756764   6973969   4542562  73846062 412410050
  85239256   9115988 413555474  14654326 113153403 212395314 105759885
  70429251 388918032  16790390  44729186  70702418   1781395  44891785
 102556151 422760465 117670219 423586599  95593913 334617459  25079346
   4887971 214781248 302061951  86931602  60805242 428444710 172612389
  64865578   3853889 152261856 429347700 424800559 421063093  62880594
  47468214 431326565   7409213   4822453 431656843   6988141 393086087
 266164812  23168047  67203567   1911684 418823954  26803630   4482832
 415361936 226241071 298488365  97549656  23198754  25415587 382457131
 350277163 442885553  60683424 443767094 445095912 166686072 163873844
  47690593    320380 134210905  81960774  15926214  45179285   8925694
 455582480  53138839 456226090  61917050 458468835 371333726  32747564
 461790011   7163862   8192662 457375533  54916560   8443690 466468275
  13400664  21718414  79942958 471032266 472111714 472631913 473349665
 236435513 473708010 175533995  14132404 255834362 309062826  14519881
  24305312   1984601  63681075 312702820 404786816 173582959  51481851
  39002860  12785374   2386750   3119552  44038980  12396407   8557479
  45746284  12463125  47226447  39740684  48221500   9732862  19943056
  20430661  20450968  20993701   2135945  66804290  24786749  25372671
  27506048  11469544  28430948  29181522  31317773  24169610]",41991
Kempsey,"[  4001699    402107  10829597  12461200  37357511  50083881  70599719
  76022684  76460515  93614881  50097616   7811503  34611878  70292284
 103492398  79908657  30801512 107163482  97875420  23838851   5607316
 125597516  35744678 137040536  25355869 159813316  84225576 142183572
 160634810 167850427  24242267  47680613 168435171  30094067 159777443
 171933141 159529466  54668493  82403518  62069413 190222124  21797380
 156100103  31889852  70401089 189981444  11677823 167261232 107981187
  21304365 212371427 214176698 214504107 202199036   8974303  98452259
 215463594 224084749  18709047  69702449 232459045  43904198  13361207
 244457588   6807895 248495957 213466048 234276151 251041872 256517506
 224081654 260893684 269122725 269607943 274650330  39759070  71381467
   6550694   1821493  83418819 124823789 272888762  31613891 303577122
  56674059 319046189 153679062   2422599 337647543   5590170 338924002
 339117421 276166577 181032368 121169767 177088628  10705508  93241017
  95936466 358471658   7164266  33885570 103743288 179176165 223577644
  18120978 375896526  43319052  20251776  15802825 376059509  34246214
  82443447  74378184  32395002   5914423 283569254  10805659 357357859
 391895672 404663746   1161474  19069323 415135381 416102230 341112976
 417547476 423510318 305353634 427613186 375216180  40433223 430702962
 386556785  20416379  42666685  16836828   8696155  14616207 436470154
 219764422  23498391   3925020 474251825  41886874  34967653   4550783
 113157193 195309045 438480220 430739288 452931478 452822302  38299878
 449014904  68949690 340692953 259481894   8577880  21051729 336791859
  35665013 209275758 149920988 295332327 205846929 433259545 475393387
 363191034  93876951  38199669  39560469  45691868  46350341  24887762
  23235446  27395891  30881806  14820071]",12302
Mid-Coast,"[ 18596102   1390233   1532686   1666893   2225542    359599   3985086
   4359135   4409293   4759979   4252834   6314820   5192249   8162645
   7634460   8508835   8818502   8828651   9296640 240941121   9898190
  10080244   4125258    715223  12138429  12621669   9199630  15625707
  17227784  50244030  50935030  51019768  52024491  28142411  49663806
  52695814  45620260  53103442  28378434  53232407   5394007  35113087
   9780148  56635554  56770795  21943439  51440981  58613821  45066031
  13538280  23595955   8392747  38207270  53242465  65535489  26982334
  68440830  46432278  26138676  32014163  28536240  75134739  27077736
  69565181  10532276  54444093   8924983  38879161  20782504  32041714
  23591205  89047254  94898726  94508472   7885513  82783553   3924063
  48897701   5192137 100462962  12680693 100858680   1874015  62376293
  67182884 102187241  88628451  16764677 105149604   3419353  97608068
 106645902 105076927 106995688  27075553  35435426   4247141 114112719
  58937316 115084416 115618843 118246805  84390537    331862  83188780
  38135315 123703291  58090513 126665109 127245477 127420924  46346155
  18691518  88360436   9110492  66276204 134798296 100323524  56099160
  49236962 132915060   8117547 139052738 149666983  20100050 150021067
  20141442 134183323  79742702 153466767  61987700  44625568  53320110
 156689893   2149675 158340943  41414200 105238950 160022990 111464954
  49583464  11244787   7602253 112049701  22169862 111511720  25909409
  51844931  55625772  34627229   3630849 162305293   9203248 144405130
 165498070 160647309 123517347   9758083 167601483   6068537   8077567
 172731539  63848035   1468965  21242340   1974449  47055071 177770191
 179429435 179912307 162203292 170434595 182553681 171177590   1372404
 187889326 188031576  12015886  87636305 102306053  12554459  57717059
 114890984 191651412   8290203  46054812  27277347 195925907 143871507
 193382146   2186375 199804353  66855017 126031596   9673353  59091551
 111984130   6651113 170435733 177963250  81607067 129935821 138466903
 196258433 111214161  17393292  71368641 214734250 214746753 215610288
 215623397 216356376  13619678 216984446  63848635   4292585  98455943
 220596739 220848023  69132611  16933282  98316145  23954703 224269048
  44888576 225672079  85237118 168832757 225700553  75688440 226266473
  21073360 108917904  42977197 230894921 233751237  29824186  66413278
 235355590  38454082 236910982 236941864 191119898 237492495 237936850
 240498148  89696954 243185457  52618962 126866954  16599727  13078131
 180045891  35566304  11030025  28199083 247695997 256058765 254270932
  23033283  21063980   8061072  14489608 258671719  52723885  45562228
 261501850 221075043  18841898 264880307 265335856 129208636 264887272
 134305548  10190596  25418598   3862345 272113621 274377758 173161176
 142571128  93078071  45270718 283086779 282611756 279047869  48223925
   3273517 149320722   4941022  18771202  34502668   8319275 156282644
   1484304  10142916 290651275 127915284 293285708 295298874 239897933
 196090180 123160691  40077554  53204117 301620416 192944343 183406100
 303775799 304237638 305163448 306025462  13325010 311803324 134181392
  99403682  22638223 235381510 262474126 317226740 318615186 319366722
  74766671 319774320  14511812  52361345 326383825 149770976  74710467
  20916707 156567031  81204337 342100158   5271924 342435310 345211525
 305589353 231367014  88865715  24077737  77070661  99151304 350457407
 350493687   9361856 328277145  40923835 241790964  70491721 307989353
  27390841 357046583 115595474   2745731  66151075  26938964 286580275
 216121016  85410864   6799755  37653476 109417523  36311629 368322563
  34790479  54296635 368080622 119006712  52977950 370518839 363895619
 370847345  81378816 371340430  10221231 371442459 232444260  40759939
 372253076    948368 373320106 344315200 147597599  81555287  65689450
 167493239 373910704 375466636 375586149 154240809 375813147 376090492
 375933683 138226121 377242446 127331582 377390306 246072183  60851902
 377723320 377725800  92873499  26073099 387213467 145379259 159810056
 101778926  75794118 335751986 167072223 341049137 173440615 380536785
 204620221 381360239  56938276 206106172 151030779 339603666  44435675
  41332425 378310448 257750658 243059440   4785649 126965040 160395458
 386807243  24607720 387449922 358444389 382925525 141928471 388495492
 388615146 132887617 370676185  92584367 390745176 391463575 391581142
 167489432 111426806 391632820 391879187 154461990 136354049 392454375
 392582852 285857206 266681401 185826943  48314902 156002035 393206144
 154813436 107747352 317546772  98032904 395741965 134197775 395868317
 123651695 397194127 126504849 176448951 158252874 325360463 401348763
 351764321  18537988 227914118 402161586  48040075 402837969  30732960
 262180799  11140490 366322020 257727775 175425085  69926538 408064214
 408290459  62890621 147433178 193622841 161484619 412596172 308799742
  52496058 148291252  82428768 417726822 219004416 274449866  38615533
   2585450  12777063  27629692 423951212 147477188 425070345 425090044
 425682489 291764721  23909061  64961640  97679614 427268688 317914935
 427851826  11667957  24848659  10325315  11953227  39614282  96763629
  17565194 168824198 429474546  43973341  93561899 422649004 373098786
 430033571  43472208  59776849 430468278   2301223  57997502 160266807
 383880591  92034223 202662490 431336217 108506121  26869790  31559484
 105531501  22186790  20123481 176286365  15037288   2383296  13119838
  20495860 434038923 393642445 348283707 277199628 278083317 218386591
  50779492 115473797  12306208 436080586  12063892 373218699 292993257
  20203414  37940095 425819585  21475400  14211067 431602690 301123455
 439163312  87628518 439447837 136646497 284957082   9998766 130553636
 440381380 172548225  23390590  74775344 441969805  21460788 443034935
   9013007 343091981 403733502  33804313 184136293 444926920 251400960
 106617854  85782630 441265466 445777203 103057885 342422080 183862117
   2081488 249024089 450350566  52358542 186578103 451444033 120302100
   3153633   4923565  26225179 190400988 455395443  15349735 376479182
  26661941 456871278  18450529 457356209 458200172 459999055  20795993
 460451642 451280185 457400140 461570083 461585581   4113871 286008017
 462276650   3004005 391601628  41345815  64829528  44975754 465980531
 369201640  25459118 190250805 239468591 465085975 468810697 301778313
 471175190 471540987 472137688 123723710  47061745  85044564 296604592
 214353959 475839599   1228683 161176621  71005548   5618466 180069464
 104282115 175959174   9855607 146257605  74703654 154623017  19156221
 182691178 265055917   9390601 234585488 125429509 124925673 317551366
 105140181  23721543   6143943 347373087 157815640 184465533  11255154
  66513949  10199481  63824147  10814346 159551181  60275110 214218970
   6922253  30677041  28894766  34403542  35909718  25913837  16646864
  39484807  39777813  22644947  27868675  27184676  41131481   9338918
  43148049  43227424  42148967  45500416  45622821   4997126   3711963
  48886343   2856232  24683977  50175274  10979290   4088793  19548035
  22069746  22097714  24178304  24842346  24299809  25203093  25197455
  27083101  22908490  27775237   4715859  26390402  29019720  30986842
  31103220  32086309  22429629  26766338]",45863
Nambucca Valley,"[  2479893   2626160   7311281   7601598   6459211  10903867  14615118
  23963723  56662823  57986804  58635665  60326605   9759324  21753013
   3843793  76022684  95989653  96599982  13362116   2585317  30262372
   1954111 122549569   3355452   1649158 149287130 152375469 152649730
  11834201 161494268 162982576  51013775  65521827  49851512  70718030
 177110245   6284800  57210223  53382822 170131797   7661988  58139412
 168658791 216787139  78712167 164748787  98670977 210356095  52108179
 172748489 227360840  99794603    412697 150806673 106211817    695155
 237036975 239002054 242884817 252846419  60861102  46972784 153341229
 183418577 255895572 259558878 260333778 211887360  22970308  13571182
  46812830 277498460 162738363 102904163  17656684 227352659 236352234
 314034201 167813625 105112979  97309690 333612164 340096965  27505516
  77797744  51021501 353140549 353890593  22816820  28027438  41023744
  88586779   2261578    374955  27680694 382893093 230575497  23549563
  81757743 386442965 391626836  53619969 312722523 399125451  55039714
  28777169 172456810 111701064  63687516 394104372  89231718 364426154
  38737154 431167105  61855057  17401712 429357982 429715721  96725187
  49227767 340095394  18769157 425782857 293338791 354524433  74884756
 436362586  85904776   1214352 240921731 434834926 279328788   9083957
   6185490 454214980  43988325 328318748  47365333 470109738 471594949
 258142705 465817623  18608669  20820357  46490711  48099642  45869734
  49578096  49820539   1328651  24887616  26078753  27083527]",12929
Port Macquarie-Hastings,"[  2127941   5994068   4956626   7045146   9220007   4885942   9711221
   6049724  10815979  11564295  10117854   5762081  17755603  37609242
  54809569  57595009  59835606  52580053  62163819  62160793  63187932
  64832932  65019539  57807098  48821461  20453157  72159957  73522100
  79411256  84822370   3893824  43662800  99787427   4931741  43712328
  75319552 103077465  79774005 103856184  86765909 105970086  48502629
 109502434  16758926 102170302   8759561 112363892 112627454  28901494
  26281484  82757631 117402064  70558770 119535874 121602399 117231285
  52996119  46919957  17567372  36261481  27719441 130984490  28604086
 109404264 125747270 127953721 375924329 144678332   6731416 146413085
  73812833 123525966 131547542 158327472 158520593 124177133  23759182
  78794200 160409993 131437149   6888189  41522629  29482686 134780099
 166685585 167851300  76227371 103921177 159529466 176658485 124634673
  15162364 184905853  91395105  21712563 143242205 106106723 101323141
 131545573 191966861 188616506  67289550   6175331 203606719  66979538
 175729859 214511631  53202034  18468060 218150584  49061870 220174134
  20878658  21374758 197411640 202175504 116026183   8447635 225321492
 210268813  13756865 126499896  43469558  64282305 138435642 229627782
 230441325  14700304 175974145  40338243  56941745  54009910 237313925
   9082201 238153598 240136566   3493440 193898761 244172164 171164425
 247759152  36837634   8240860 253076652  31200931 254235042 143230359
 171551712  93186495 190901883 264404981 267979306 265018261 281145571
 281622054  14460622 108923243 126740358 227710588 213484836 296414431
  69714936 298891615 247355398   8619352 136813047  71448446 308227400
 244069134  29308476  32098803 308564336 309089390  37715925 206105865
  45849975 145106412  82612753  23011601 175365397  45417946   6691678
 138599818 323201545  23717626 164558047 108189424  45243112 301581060
 334374141 336215105  37975594  28536240 328920161 183478081 112992049
 240932095 127952403  40931714 348127618  36663506  51647854  27927355
  86840981 357761494  28944015   7352697   1419320 221587868 274950504
 368301117 154136390 370359918 151582679 121174725  94290506 372221819
 372333166 372859618 373444997 373882043 149495629 290430147  62717026
   5644763 367187011 194876778 142383838 377718140  25774135 177632367
 297949060  53980625 212910817 380076074  54267545 381136697  30510814
  21904292 115598300 221468413 167248619 386159940 225294487 386577621
 387466022 388205415 100306607  38329367  14293117 390561152 366142147
  27504763 391698548  15430319 392313883 392326222 388862383 123054322
 393068406 393071293  98045600  50413807 290670802   9550171 398695452
 155436480 279023894 182154385  34619735 405554639 405717815  35941213
 407011767 131831285 176463396 135159868 179052909  36965528  94149446
  99123046  29018768  28585630 423107695 423329680  65229350 211419846
 424734603 425273385  56443676 113283628 426297513 426655794 220161696
  52213242  93237109   8266892 408301838  27334376  81827176 189791189
  25329445 430609587 403410021  22867076 431968272  95915712 427452791
   5538847 247564469 264625121 434334991 434405601  34870083  19876519
  93070054 153355865  95238924 243807359  67178552 438683482 271722899
  83861771  29405753  72048420 126077121  21475400 444558221  41945463
    402107 446422226  47817700   9821942   6249244    566915 284050110
  99707051 449918892  47056124 167152090  18857206 451754290  99258470
  27665155 453880118 394935828 373792791  20457289 449461613 449276849
  30177341 185585227 458818909 459318265 461289374 462461200 127635260
 343502256 462164667  23716076  17382227 104962053 199365239 473900122
 475201958 475987815 477772573   4299667  44147289  27019081  49822637
  25829654  28268155  29081077  12593926   5590170]",40231
