points,Number
0.0,1
0.5,104
0.75,59
1.0,1130
1.25,8
1.5,233
1.75,4
2.0,381
2.5,160
3.0,63
3.5,26
4.0,18
4.5,3
5.0,3
6.5,1
8.0,1
10.5,1
14.0,1
