neighbourhood_cleansed,number_of_hosts,number_of_reviews
BarstraÃe,"[  6172570   7047741   6851991  12285777   3974152  10039278  28047273
  13523070  31205012  38051196  23179173  51642830  18137582  58843417
  60892662  38751169  62436817  63838688  42840062  17460284 138117479
  23383981 138862667  51051469 252805983 278240539  27419938   7045173
 225580370 167881332 202344102  46662948 369716204  98613692 165644960
 180183241   9625903 405727905  74629223  41050921]",928
Baumschulenweg,"[  1395425  18572824   9928638  25684726   3193951  43199279  44138349
  63897470  72289118  80861390  98743224   9963541  29034210 130393107
  77845975 104020251  26511341 123066968 140458495  87627421  39825777
  18400678  56443445 161396202   3430742 106322986  39265419 196874018
  66481222  33419967 217176947  87946327  21053927  58953151  25818415
 278955781  78385580   4630902 114486816  72973035 435697501]",754
Biesdorf,"[  3755786  14198674  21038534  45792607  45534888  57133876  66598123
  83471155 122796983 175590325  66725020   7046251 209258189  47306584
 233663426  71840750 300676660  54732878 273603825 145195446 334712111
 356721554]",1312
Blankenburg/Heinersdorf/MÃ¤rchenland,"[   803717   1799516  34979920  50750555  74507546  83693578  66069238
 199627082 155419137 266263930  12902188 308855555  90569718  80834351
 359300099 129280758  41082717 184819156 430375404]",992
Blankenfelde/NiederschÃ¶nhausen,"[   584750   4551377   4813229   6754505  40917101  48098445  12101514
  40195311  72905027  34596621  39537907 112381310  73828853  77943199
  50248574  12864492  86120115  20485532 165761192 167515393  40100342
  92371791 200627195 213304271  14706103 116666085 267583245  46477740
 279348797  21177801 128209160  44824768   5351059 365232466 363061052
  54045095 186041979 450145021 476447122 151092841 426612953]",1615
Bohnsdorf,"[ 42599778  50350370  23324507 133264787 141545714 129516553 337652705
  47953713 272567340 406518622  11118305 468841131]",362
Britz,"[  3897971   4102579   8045600  24037323  27281836  13270099  13803673
  52155493  83484321  18266350  91638709 108055284 132642015  49233032
 114396091 161122393 172892930 172960119  47167162  17461583 221150356
 225736549 112518309  44980957  19220411 188668906   6484949 189137873
 292830377  24844711 294759884  44106573   3764307  27664532   2546072
 315927243  52029487  53612210  51213122 128713085  18536941 321515829
 234695082 380286188 399171143  24350145 117427838  12695822 144037511
  95878834 138382060 101237522 441921256  38593904  21794825 460661872
  16079116 466221355   7204352  34568948]",558
Brunnenstr. Nord,"[   312896   1023063    814026   2626550    344615   3482823   6566668
   8196204  13744805  13919587  12440436   5781298  20372109  20998252
  12408256  22755563  28510370  29459387  33984983  35143873  32660109
  19342974  28847496  14113494  11570228  38343628  39114778  20594022
  21951216    447761  42489049  50373075  51232479  51352517  21181534
  51583947  56855980  22272139  64186649   6719488  83936528  14778045
  62297614  26426798  23594826  86456142 109527844  99582323 115151451
  44202490  70628860  59913112 131730019 130089284 136047855  57620151
  23060978  54863461  10869066 138469409  21135430  40717425 142397558
 147010308   5685890   5058535 151242394 154222592   3707004  29317557
  54392178 159069280  82553883  26064874 161161325  34853890  51670549
 160408388  93861193  43444878   1625671  19338650  52427947  42848396
  39618235   2360669 188997068 172106212  20839371  19374682  94796116
   7672350  38938476  33432331 210071028  46659004 112101094  95129226
 207929989  11936923  11498013 142371970  99977742  97118391   1109188
 242964912 223488941  17598745 251692186  62231229 256594692  57771846
 238744871 216855948 256478160 136793045 258606573 196545452 275613202
  39062789   5536737 280920281  61268701 285239727  56956645 192314217
 267112588  66484573 212579527   2020051  47888597  34126795 305757784
 119625115 271714786  61965787  99988493 335573202 205235114  11590785
  96302855 162675658  44185617 202056883 348543328 251702716    493494
  14602909 359632814 206374835 141535399   4873725 380825090 385342520
  14754631   7399749  53808299 399006889  19850661   1228713  42093537
  23430108  14089209 111164494   6431572   2656264  12377060 342931154
  97279971 446459685 441154173 451469255  29495573 326116765 261154935
 458325811 223885176]",3485
Brunnenstr. SÃ¼d,"[    86159     87357    914711    151248   1275846   1023063    833209
   2115002   1641541   3062473   2449119    955509   2480274   1090989
   3590402   4133039   3632455    134583   4271173   1452860   4300460
   2203358   4338631   4980663   2627000    477531   6099328   6146427
   6438552   6457403   7101186   7123370   6983517   7007500   8375490
   9869525  10107532   9743704  10765531    308441   4036761   1590172
  12234103  10698763  12527762   1509585  11780431  13444319  14031385
   8735453  15999237  15732053   5680376  17326710   7113017   3688179
   2226955   5846882  18980209  18981851  19425657  13671756   1537210
   6043420  22798878    716475  21948766   4533219  19081146  19113318
   7908994   5640504   6860402  24751460    454103   5385927  27085846
  13180026  29586860   5431184   9608615  31168705  13900425  19520480
  32701941  33350475  32943498  20563587  33172621   6037665   3694989
  35067836   7431793  26995137  28929364  37234861   8100677  38558083
   8196204  39439951  38783099  39573113  18194568  39845442  40656291
  39346268     40359  11448565  44200428  42911160  14232996  43792354
  19190074  43876170  13577242  21365233  44778624  18861303   6721827
  46149557  20693850  47556192  13592772   4331175  16690825  49850828
  49955987   7495644  50802586  54039179  54117705  35806623   2429694
  57767279   1399741  58989886  61076770    161221   1194258  12770743
   3965874  26452791   1297102  18084560  26717851  64093922  64504628
  64507506  64511203  64515974  40724275  30027132  64917845   7054387
   5403913  68639985    866270  67350806  69925667  72162602  72439399
   5204433  72449625  76796540  39588660   2264025  86306399   4057069
   6702446   8196161   9481099  90925526   6649313  93107309  94972702
    102461  59922375    572602  18480994    518154  15997566  14701980
  13155778   1199044  20115491  61715259  53570607  29626037  39501265
  99521213 112224316 114453085  71670497  20500981 116376738 119024407
  38536289 117818298  16055629   4822439  18653220  18748484 116568785
  90912324   5100761 125998987   7665526   6455819  18677185 130017279
 135973285  66690175   4729446 129041124   9139510  33912755 140923232
  22242615 142575003  17064402  10505160   8112984   5510710  41238410
  12138510  29488349  42099958 133513514 150416272   1587756 127513543
  96951009  91428078  58572681 151902367    451311 104216849 156213282
 156461453 155105708    336850  24416750  64304129    493400  29773670
  35310069  17507038   7198786 171248081 109091036 171852467  66927578
  56938358 173799763  12659779 130642857 145501953  59612406    908562
   6551394   6465260 141321575 187058760 114009068 192654826 102818043
 122859588  21028255 169301923  78167637  23431989 184983126 201762540
 145102722 167881332 179857269   5520777 210700814  83732173  13303826
  21459774 214644316   3450346     12360   3183843   4762520  42671030
  93102678 222672960  15101083  77262771 216837175    162648   3896511
   6964953 193731690   7330871  99329154 228821843   5891250  55372447
 234280081  47702685 238646049   1556455  37014482 243427336 196822945
  19937271 247759183 152741718  94574625  27419345   6435317  82634321
  57899176 257726278  26846518 226545155 102979040  82700967 266014741
 123923734   2665400   3621802  81311773 110618638  19640594    454244
 203689530 208069921  97356669 252315229 273470240   1151789   3901630
 239050243 151284276  53348908  14539033    721022   8546502   8706616
 296125062  67964161   8280699 290992825  43935521  78220240 277553898
  39197622  18902239   3599036   2106561   3343439   2434219 194689330
  32888190   3473583  12175798  30138914  37948978  32827919 319033463
   1297305   3779223 325656076  49878241 101092792 109406815   3868992
 334004771 329902776  96302855  48674492 337041352  24824610 336273100
 340304325 252498808 238029336 238030351  10912496 309128523   8491730
 348821103 229435799   7622003 163545961 130765483 359275555  63897670
 364655610   5528072   3100851   7912934 339625555  20794511  56484481
 130708708  24864601    726769 377374998   4485354 129905291 388823683
 274430017 265491291 392486842  14135140   1175327   2098554  36365982
 210861911  13383290 387771239   5298519 154917279 318912597  65434751
   6063858 104562464 415771368   3427881 142121889 147554743 419196646
 420130606 225874512  70168685  38463072  10377295    215318  41132776
 373529812  24142988 435070801 433113644 143315211 432714213   6346710
 175463482  20792531 433292230 319168939 442905257  91132606 432029744
  24633730 445357816  29994759 448367013 434485440 451744088  58617188
 454220186 439357842  34795973   2319614 188045365    512909  54524113
 105044718 478236269]",19398
BrunsbÃ¼tteler Damm,"[ 52747435  79430806   8912086 230483522 108025548 289573026 415821058
 159928768 122052230  10190185]",115
