points,points
0.0,20
0.25,2
0.5,164
0.75,54
1.0,2904
1.25,2
1.5,412
2.0,1236
2.5,197
2.75,5
3.0,111
3.5,20
4.0,25
4.5,6
5.0,3
5.5,2
6.0,4
7.0,2
16.0,1
