neighbourhood_cleansed,number_of_hosts,number_of_reviews
Flinders,"[  3176149  35520166  61318606  80151685  99447193  47959734   5505358
  94158884 149149994  99307080 150240207   2044851 103162782  22695007
 220510180 242376119 264588408 214316712 341846830 328241592  85705998
 350731300  45049656 374476730  62172636 394601993 208558196]",1112
George Town,"[ 31545040  27915317  81222148  37001063   5194225  48642706  76201165
  87849968  34850377  12137401 156366234 162642194  32409673 179306658
 175456343  13087337 107516027 258108088 302230483  96610664 393928594
 247067621  92557519 254242527 391311094 169979432  57986627 412885118
 432935270  41106341   5266238 454177330 118256470 100546672  15552467
 267304815  55076141]",2295
Glamorgan/Spring Bay,"[  2722105  10557989  10625331  11210992   9048295  16836695  16978685
  17141679  20005846  21266652  21552046  12301247  23230029   7863114
  23882177  24350837  27234435  27716310  27758501  25626715  31055680
  31181787  40350787  14958978   3740438  47495860  48990096  45331622
  50626497  50861274  52443675  23365055  67811966  30751106  45448917
  70084453  74549747  85223405  25770401    653957  19418558  94750645
  98845638 100852641 102782990 104455406 104740498  14356518 108169681
 109533797 111704654  26182257  52594212 114093097 114093212  88057257
  27499260 122283291  29907179  22594255  22169932 129310427 108302857
 135285775  28538749  89802433 140140896  69597645 148186478 127000250
  34883393 151740944 152425444 153321044 152019948  24816040 145762608
    167104 162445209  40266836 163547798 164512447  54591387 170633644
 132920927  11461888  63938245 180604876 180774621  13509156 182078033
 117413932 348250968 105382425  33850341    124842 189114635  39786086
 193552624 153481487 197363428  19150527  28421163 210455834 105380495
  94246519   9137064 214584693  27633815  46685736  15493367 153173571
 226425337  44705442 194397933 227583474 140140341  95029593 237732269
 240715890 241142344 243202301 250009593   6065937  21429698  29241674
 265953238  22827802 221052508 274895590  31896500  48984582 215182605
 215508835  10394549 285597407   2302654 109056561  85731360 304794882
 257743975 305639971 105023404 230301249 108919350  54541887 311544296
   3925710  18602205   4612328 319114926 139792588 281510377   8540145
 326333591 253592247 125937394  57536490 342102823  46533677 168427741
  50334321 121786445 366035180 367140925 152751957 371461056 369552415
  31255286  78568100  53882898  51245413  57679512  69469736 221097927
   1193509 104057602 398712404 174858248 389451976 401627756  96784548
   9974653 403753663  13657970 299232113 118167642  57681752 257895094
 418647791  88567646 373187802 130692447  81389343 428600669 428737964
  34544157 157324030 254264100 433504068 395827930 242383194 424970097
 428898339  43322432   6908545 100082694  29978644 135943258 452959143
    506662  65551880  73905414  69583741  18293318  88624364  10065126
 369613233 464526912 207722969 476876245 104180838 101005117   7409213
 128293686 223609115 206378141  10327380  99447193 106008825  23645296]",42998
Glenorchy,"[  1670767   1663139   3881184   7341452  25511005  16481791  39786086
  12333290  55847684  68037501  27801696  47684528  89047106  99157980
 100123410  85084260 115545033  13749053 105430290  89644257   2247316
 132405825  27034553  46180333  43218311 155067419  22106391 120796119
   6511689  16079166 165486224   9857389 184337177 127157978  47823013
 192351374  32452095  39773819    959326 234181292 147429478 258436018
 260341501 264618043  31310534  15631481  42600688  66261359 298681985
 304972681  41321246   2585592 152518123  16791060 315774466 323144493
 172630258  23123815  36863008  47996930  31896500   7864527  56672523
  13284609 383586318   5885909 157858408  10977024 268055675 336403961
  37274794   2141838   9609653  46038410 431076828 435664010  50502360
  29825026 253764078 141233532 444072235  11514411 365198164  46609521
 149163837 290318245  79757920 475264736   7176913]",6958
Hobart,"[   153268    485048   1514295   2002482    825924   3645455   3962339
   4732657  44153777   2562820 213791793   7059980   7708404   9200271
   8204424   9605850   2085903   1219795   3444379  10534885   8617671
   9220246  10624062 436692322  10879636  11051720   3590035   6625769
  49383522  11555959  11345552  11806700   2122839  25511005   6065937
  13991683   3057662   9043972   9063468  15281683  13426857  16232329
  16262020   7027914  19554266  19758741  20625543  16226029  21466940
  14113481   5021140  22832856  22935985   7341452  21115310   7392539
    465176  23633508  23591105  21295452  23822768  23825244  23955739
  23990742    971670  19727116  24501263     22961  24686470  24730651
  24755293  25122551  24309303  30831740  26037524  19722855  26516841
  26704231   6612853  11500279  27456631  27564115  27750643  27881267
  28537920    641506  29142772  29609087  30183438  15830609  20413351
  18786622   6218612  24809668  30322839  32326704  35250651  34799225
  23920289  37651945  37652325  38195199  42190480  44041914  44293804
  44894205  45258279  45406880   4501536  45881384  45953558  38225906
  45476027  47816865  48093535  48201012  47266745  48548832  14748928
  48913663  49058461   1800132  49333153  14561152  49582345  49461802
  50631590  49307327  51471806  37743398  52402794  94688819   3337924
   3588292   6419648  53882799  32533794  50555874  55853740  56024983
  56432738   7959920  57681752   1128272  58528798  58796076  58812628
  59637298  12300897  25905586  62726393  62850413  21911562  64845574
  65697710  66155650  56801828  42817978  52208721  62205537  71013825
  25774643  13393634  34033998  42163670  23193215  18229802  76657578
  76857037  72814499  22462712  58219235   7645718  63666265  59402305
  90134084  81523604  30120262  14027614  64465853 165287770  90382336
  96537350  57683331  96633861  96769598  97029022  95040726  31939435
   4358350  98319379  99568985  41873570  56428874 100831989  17089136
 102780084   8052976   5244379   6990961 103646919 105268768 105619389
   2010099  17525741   2949681  74268140 106877391 107001549   9735105
   9636840  25151771 108084813  41877495   1275069  61494950   6614502
  28835621 109530138   2157501   4736786  76299405  59981791  55703402
 101898154 112198750 112807386 112437307  15346201  61458822  49691322
  76093066  80191354 118153427  99441557 118468931 119428853 120645585
 109178100 115245451  13352787 123953007 124777781  62027520  11508746
 111203559 115611016  93539635  38796489  72010688 111943927  77595639
  10026104 118612901  10971177 129035353 133469807  10417229  50252947
 136127085 136835962  62875206   9339902 139202600  34319995  18803664
 118119284  12459846 101291639  26971816 141789535  36483774    494617
  25046157 146867455 146955241 147128766 147286335 147323338  55595794
  50036530  12918758  29198115 129815189   3123725  71540683  36697766
  16029008  53882898  68210112 105668269  37116257 155488071  73154225
 157203454  24351477  63295293  25978029  55068616 125778022  11371247
 154033264  83020215 159124310  71783047  73909194   5901328 160661572
  21899255 161188442 159903506  56576277  12856257 118010319 162439908
   7057135   1741203 163491757 148457746  45564010  31882716  81810735
  37183897   3250427 166854847  32467296 168757190   2482287  88657786
 104729020  20101585   3707569 173079224  98449822  74959572 102180087
 176134666 179058644 179679252 179698266  39487283 180410403  86839562
 179635946  30242342 182327060 182514978 183236376  59994011 183829938
  20823796  45192830   2586225 109304797  16590488  27669484 191450524
  54440871  45331622  16850728 193305482 152259733 138479202 193965274
  63978787   8406383   4707037 196944781 197382667   2918381  71462621
  29112898 202187093   3005820   4923303 202648660 106181153 203404315
 203406963  55482790    541079  23175241 186538942 107105106 156673516
  58788887 213817230   2864712 214885849 301581060  19418558 217551792
  41973690 142724759 219534832 220152645  22106391   4395940  14037867
  22910663  10103431   1243947 223071252  12437455   6202878 224581062
 225516353 225649274 226289199 226394190 149983942  49964776 226611201
 154122884  45938692  88259659  71449949 224086618  31191891  18293322
  41983777 237532001 237994667 238409992  21627117 215342750  23018252
 105644518  28123970 244040032 244200084  19430210 247100800  15845341
  48108255  77839554  95528028 215656109  79206105 192916088  25875791
 199806159 259858500 231505708 260590658  95633612 228435468 170257264
   6435589   1526207 265318282   4648397 263089306 269635901 269925892
 131369041 271973313   5466847   1296633 210618169 230301249 278730927
 279018218 151871346  16789649  46018147 152751957  75855845  98134920
 215508835 291177124 291670699 105529999 137900803 182713843 111892516
 300633583 301585135 302427272  40161720 305666043  49773564 180562268
   7082230 118285940  31780521  64569609 308575326 231591350 118743626
 309973105   5959339  13479634  70476893  15170228 314020271  73635324
 309344492  30247899  36416622  29481126  93732477 311006367   6990639
 212396081 293315630  53464811   2643735  24242338  59241316 205630896
 114923055 110364520  69938717 135965347 330074838 331035240  69597132
 334233953 195296869 200668879  22264632  74046667 342344581 143148051
 198518054 356833076 324390748 290681523  35042834 190872982 368823099
 184740804 155186393  55623676 376329373   8063364  76458849   4622385
  60831723 191941513 380507198    707620 336216589 166085612 388116264
 232902645  35938974  40102902  12163146 187714315  24717262   2725118
 141916380  46261717  13914944 395199535  11946277 398545338  12557066
  26600165   2973257 156004235 403178393 224612103 403583578 371757319
  51483574  15283453  89635430 388332169 406488166 361310393 164080933
 413436242 112344650 186578079 415729299 247917528 418475143 418636863
  18068204  10863291 402172092 184291608 157729804 422227680  34701899
 407755576 424652560 423228634  83386943   7301775  70752205 427875718
 428231168  10285783 428457848 429730727 429811942 429481481  26270222
 223411025  38423120 432552293 432561998  11031342  79819066  37095592
 172035630 434982854 128341302 423751830 100747967  34479947 438652812
  38203064  43842387 432532312  61549786 181352826 436686759 443943387
 222643863  17854092  85988297 104324098 225045680 451711438  69143531
   2473055 449938699  33306358 376580491 167079971   7409213 458493964
  19929789 121608656 215833474 397923649  23199204 451717692 386675696
 459500683  17388410 425096584  24893161  74369713 459115858 121481173
 262207149  96771065 188988074 463138225 111492711  94546074   7273000
 466287976 408095998  90924162 208855665 418813659 141233532  17098625
 154550035 468580217 158019725 427107681 141235201 476148238 477746392
 477931927  48311735]",98106
Huon Valley,"[  4496750   4061453   1951031   7635662   7681433   4758132   8224349
   8685673   9898663  16658218  23202023  30887896  35031389  43136635
  44167049  50482291  44871018  33800804  57711986  57995005  64818032
  54418131   9692497  77652944  88050399  88560893  93498770  42799778
 101763203   1879480 109426905  60112227  10285677 110351820  19212472
  57959601 105420689 139420067 125740337  35949838 108588303  13396614
  17525741 155354338  23004615 162432657  89815643 171877908  47796638
   4684963   2650595 180648275  61443994 188837029   4792269   4346519
 211767386   7115594  40559130  27410703 180996168 230445667 231756045
  15389838 249535260  49970521  44551299 275407809 296465160 296660712
 120133471  69331028  51374090  14579160  89803686 312474729 314886368
 319757656  10078972 237478967  49306458  60258473 342287475 355265847
 355813837  24563166 359918819  50928930  89600555  52062768 320452228
   9324481  11794602 158522439  55969105 342465770 121095978  41035938
   3233429  38219351 368336687 406663989  54305108   4141874  11432406
    555271 417265080  21272565  46908781 425839095  42330195 401346247
 431797596  47943579  69327015  41963881 185233629 313555271 216830981
   7345417 445366178   3454014 447452455 301778313 457171304 120488377
   3933063 459655811   5673667 441962964 101834267 465791478 467707519
 366999114  40239851  35430535  52208685 335756748  78532384  54417472
  56297629 126976109]",12019
Kentish,"[   461471  24954946  31751241  44547896  45854790 124190766  24844266
  56428768   4660635  60570560   9606620  35258300  72985422  99682639
   4648397   9695613 114293390  58631830 121430523 130805879  47349956
 159775585 173472406 179278481 129502612 185965973  13472910 115230363
 191782518 202886529 207425272  92557519 212351605 168807178 128342367
 227240708 232041103 233264151  97584951 190735512 248554683  22852969
 251224513 256298020 235586997 270833203 133280433 306054861 170861715
 324791573 350265862 351627987 383102254 386032474 387861891    334159
 391621826 393499641 401951994   9563415 416959558 122435440 171552557
  21859415  54580672 441385437 174886133]",11086
King Island,"[ 17572089 102541264  45199534  20550686 127761206 155657029  38521873
 176721881 462140579 189294879 360107341 373555239 195708251 462142943
  20778013 461462364]",606
Kingborough,"[  1777929   2539808   2557836   3521501   5371984   5765309   7862305
   8906826   8998408   9137064   1612545   7714106   5743792  10359948
  10476685   4862692  11559259  11854240  12523710   7115594   6778554
  21708010  22380173  22790285   6280612  25082812  27021312  28425120
  29773870  26324483  25555423  33459803  34328653  34883393  35428459
 118758066  23134263  10103431  30311621  28134875  47733618  12047162
   2621068   4935314  40356721  25442492  45774680  63294551   6825215
  68779653  69328742  62027520  74213233  31269808  75689531 165287770
  91239962  91583780  33476337  45575517  99029359   4366384  58901219
 101782764 105273200   1154815  23011216  28193533  21308507 113443587
 114452418 115104606  99684785  76465137 126150455 118612901  47922947
 114420706 134970469 140176998  47057737  31824999 151194488 154135341
 154876809 134067133  34030421 109373306  22720842 161177627  23342283
  78527684 168056940  13279264   6402373 170702558  14700414 158748886
 161188442 176629782 177937478 181187798 182843148  45404388  14021593
 198570678  83205245  58528798   8055526 147431333 216205138 217013624
  70909647   5557557  19988539  38732981 225051996  61556164   2588418
 226252850 154746152 227219753 162143732 232046254 233029291 230397652
  47376310  84178195 104715179 224414154 147620547  71907942  59981791
 132004445 243770602 245036149 245419154 174464905  59090722 249781488
 133427942  33006388 254460752   4994636  11740798  24305460  26218717
  74930313  74782616  21899255 265532724 278807500  53133206 295271252
 255941348  11526585  15808424 304967651  54690784  98873579 244853953
 291705097 191675207 100814804  16226029 309405996 229964909 252429958
 325736248 150406371 304037508 222134538  95218750 330299370  35125368
  18953026 327414908 340564588 170308075  83077953   4010962  23793589
  74263133  73825921  41008194  74959572    636358 371755527  27558207
  37935282    246407 225676412  17055074 120969200  41429649  10644104
  38718306  10956948 394644775  43028140 175217596 331035240 399783872
  82250887  41974698  89955763  17284464   5728651  25035120  39868309
 129815189  31934623 423230746 387575711  12986730  22656296  84188912
 156836510  45932550 113695927 395187849   6997426 429293604 365876913
 164080933 435163243 435258354  33954818 436088337 334376829  55725251
   8343959 157873105 282573579 199615129  52567404 116468359 133472100
  30386094 125434735 449636442 117059984 389416522  86465510  31036676
 250779365 131727325 109066237 154813436  69550137 100989108 461330445
  41983777  25156866  55447559 107404505  87220216 211887360 170480119
   7347672 425096584 159991279  13914944  87856897 342436839  49691322
 226890004  48359753 124961056  81164114 298056527  29301882 454346185
  66990819 108084813  12016568]",26919
Latrobe,"[  1783459  28259775  31705803  36016630  61020291  53529690  76431945
 104603942  52079505  58631830 163253504  91782209 157531106 188087435
 363440873 222958116  99908610  58660628  57048321  13723180  24719395
  99961809  51296774  92557519 169365298  89226617 165162603 132117432
 205817190 399586946   9321295 177987690  56371961 200565750 211724273
   4612096 114383413 444871120  13268523  42258156 307980500  21436759]",2834
