neighbourhood_cleansed,number_of_hosts,number_of_reviews
City Of Kogarah,"[  4059190  24390540  20152651  26717793  28200063  37274046  35823380
  24722669  46530318  36304598   9193729  36900518  49828258  50768554
  70053846  79979233  13141412  60713206  50985070  20141241  87406326
 105915413  48746530 100850338  23447870  70569341 122812017 130844705
    901216 111041478 139514942 147743456  56012965 105974052  39105317
 157574866  42580375  56426264 162453500 163110413 165272367 170486192
 179501795  70904875 107868157 189152515  29497751  63822411 133049806
 108774829  78653184 223988120   1368983 124955552 226797598 124959680
 184866107  11532617 240120555 247722941 270658716 169649296 273414620
 102311198  53675926 292347669 137406206   2426019 268697545 169795871
  14208470 309817605 311059146 141607101 313626816   1504220  54130666
 322060427 172417365 246117253 332825948 184221019 341954704  63537034
 346512981 387833383 347752305  10441624 441365413 411404306 457666854
 301753450 185126628 299691774 382384057 362888992]",2535
Fairfield,"[ 45059233   6035581   2131812  26824411 127468532  63194575 105772764
  47288348 163113803 115263311 172316156 177982112 158872444 182173246
 190483398 197650751 219768000 105669499 224746867 219006049 118021719
 250613381 259684017 129972789  40752431 290045665 288536363 303271550
 308018824  84863502 309839813  25975217 304795574  64371987  32873129
 351327621 363053944 288743418 247904641  48282003 391235657 368676662
 371237344 309476498  82947703 292060789 429749087 370226962  63019455
 456406367 102664004 330598935  16803308 427624676]",2389
Holroyd,"[ 38301156   8580701  49678104  51766942  71873064  78398785  81598232
  78248942 102013169 103197164 108527265  18128377 157316984 164177697
 177730662 199785592 212613106 171399293 225970411  76311736 225319445
  75315916 255320907 178157771 273179477  38298598   8212623 274753858
 327209010 304969847 370226962   1257913 193328503 251905190 297512659
 102664004 157243125 304120444  57812655 442746427 463028349  37846448
 395583609 235137306]",855
Hornsby,"[   333581   4099655   7101594   1951184  19759571   2171926   1334759
  27671523  23128928  32568443  30804740  36519643  36833364  26486483
  44905618  47821604  49511366  50485321  50676341  20286477  10309076
  52496968  35061201  55828052  64974669  62599758  28836130  16074877
  66530126  70399780  72801414  33706984  73250466  79961373  82729242
  41166129  37868521  85413847  91074998  86211030  40277437  73820765
  98887628  72063241  10708006  97145967 105153260   2878464  79595485
 102964996 103057661  79032319  15954282  89272740 113733293  74971692
  91034448  11891209 118141676  31012005  47508895 135961134  30804786
 133157973 142206209 106864470  35352493  39905409 109917198 121462423
 152636337 459983686 157964430  15971875 108962683 129216666 145866225
 159621069  55672730 154782206   4610858 102442876 136716689 116000601
  22947093 162941958 125511430    463085 117832655 177629729 179634861
 138814819 181168060 188222620 169942245 130644668 186726154  20348539
 143123896 194417833 195498987  63426155 201008572  60587151   3277760
   7033617  43569498 211101575  72227532 209621608 215066186 130425588
 206555835  56907858  19771237 225188133 106998409 185404919 225793991
   2568176 175581306  35833777 230137607  67311450 161094574 231779400
 234452776  53001415  33490527 239478036 149217640  53514274 131767461
  45175404 257098011  97224350 126722006   1545128  49964776 264621400
 168049482 267322745 171330258 113180379 280622858   1540160 287977609
  21147059 129385311 301173239  57310613   2800642  10088229 304946084
   1879096   3204843  78525499 149381631 224912101   4044821 317590728
 123869596  38651666 316363944 252044896 254451860 323177523 323425646
  82431568   1829259 340405453  62584946  84847234  18709609   9628472
 354559084 352081664 187185481  30996636   6281809   9727431 366684001
 369908172 374488620  95372809 143427903  49837508 357566424   2643819
  39654787 388622653 385321581  55360342 231041378  47968205 396020039
  30136876   6378124 227914118 269645919 295965709 303402108 233777482
 411199001  45782904  60310149   4406799   7058824 150197265 115095942
 153612429 251905190 426308799 118021719 391761898 152385742  38988543
   5215877 239157088  17161947  14710097  44698353 447864268 301753450
  40341656 457051209 102664004  59222682  92779512  32727391  92812397
   3410606 230140971 467171376 123838055  48015044  43984418  80391494
 185126628 470310362 325137886 476455083 137771041  21510728 465696336
 474241925 436696759 286815051 125949242  22979286 217546838  37751927
 433628502 409007984  11853923  13976147   1851822  32567167  44963207
    461833 147464575  62036105   9959882  93085206   6108250 170480119
  55434915  22747764 365365648 154619701 152524770 155714921]",10030
Hunters Hill,"[  4660343  12246300  20136068  14594626  49141429  12374751  34973340
  62065401  66980811 279001183  52346547  58082891  15615602 106889617
 147450835  49393645 308798189   2767272  95516765  41215678  15739069
   5688162 101794460  49460575 222450251  24256244  89494027  20089725]",516
Hurstville,"[  2465634   9794787  27191951  12337442  34473113  41781244  29006361
  12045622  47446899  51559275  51457508  27303637  34319417  61362957
  25442941  89209860 102813804  72981186 108226470 125653177 122812017
   8883279  49687647  12717826 148541523 126174106 150547474  33776354
 156969145 156980269  51934015 159976662 126173437  16397170 104981780
 163874096 172972249 172971484 164266132 176896245  87444286  17085220
 196875123  31376166 198488499  76681275 213680296 114426384 220853988
 222658206 148114658  59538373  43063721 125363274  28948969 227718756
 135789569 230839395  55598483  53675926 137649883  38289891 272668645
 232826796 290260362 290927670 291208581 169425110 227572670 129960217
  10825216 128495606  37219639 309128068 157477217  56757338 321033288
 326572263 304450597  13052354  35032337 342086940 107746464 341168149
 103770651 352081664   4795534 387833383 389177057 398240183 324511820
 403602564 292060789 288743418 433778521 229484777  38298598 116905381
  96022774 169547293 474535130  61358191]",1801
Ku-Ring-Gai,"[   480315   5193297    825199   6140082  13620608   9957697  12243966
    954713   6516714  22305662   2600079  29542210  33080354  35853921
  36021036   2440448   1748606  39760980  43823585  45569115  47242061
  32154100   7923619  48299089  49590099  50545521  29407671   4528986
  51262782  51280039  56549305  44293563  22232007  33522120  19826479
  15285033  69600091  22265744  70462145  74548150  78737824  23879872
  49969949  75823528  82931571  82967196  91790412  87220229  49150269
  39507872  98519060  87867195  17692598  49102742  30514527  52730140
  47320329 107219116 107741344 112954794   3474587 115620497 117832655
  74943792 127626640 126722006 135000142  46612198 142108560 106561946
  37742608  38298598  52150663 141078206 128509580 108637032 147119525
 152118160  36264810  29391982 156835172  26655704 160140981  96477807
  74958437 140005714  57167505 163133087 164055415  98361765 168612273
  55339975  72408737 173268799  47868180  36693356  72616791 185477274
 182892582  75323834 184719320 197462594  52340642 192448585 177290576
  56574437  17176810 207489368 137422369 209160656 168986241 222106782
 185245993 233258818 224249958  67822267 118625037 177755542 246473171
 246663944 204381032    624275 235358225  22517218   1111866 145638746
 292438120 191498747 299392958 304832804 157891146  24963905 304233292
 171590185  16515611   8654735  69701974   2106560  13838290 301753450
 324046053   1167371    501392  13086076  50798708 178718970 376946131
 376533498  86484019  84640488  87595494  56167545 220618348 189112177
   2059690 302077813 403419300 188934409  19765998  74097211 251905190
 248991547  97355784  57898596  17269196 436448687  48015044  35746323
  15947133  20226708 448699651  13481098  17220898  95214788   3231577
 243113058  52249206  51572260   7409213  59560175   8860148 120649458
 107492510 464347819  80879014 326403594 260896549 465696336 474241925
 153195376  39996425 137278159   5215877  61062341 428732434]",4244
Lane Cove,"[  6459849   1391360  14859722  22031330  10132237  25206231  20707103
  26887813  32803646  39085213  16231210  43969541  23363372  44793627
   2725174   1460741   9002997  14817905  27076366  11745029  55988513
  57022080  52880623  13053771  57814769  49851829  15766036  23429626
  71578431  33874768  78950505  28593177  26273189  53522430  91056641
  43853331  26127552  37387068 105060292  45128189  15398769   9810342
     33294  20555298 118089340  25467021  25670523 108189888 139165792
 143266370 153178626  60815202 156386722 151990696  15739069  65442997
  16973775 163231936   1852947 169952367  62846870 180412368  20134294
  56312034 198067390    875556 188603514 178732505   7856340  69146100
 152094815 168614726   6717743  11522576  34232330  37311547 205431023
  68049387  60554463 148607219 148901095 233779179 259899143   4058388
   3087031 137278159  33097975 229599118  16191989 259910873 284451949
 142502694 279001183 305787955 106980466 182857664 328009139 101848366
 104556547   7125459  19015318   7409213 358496179  19498832  55456674
 301753450  74370643 107992434 390420256  29556185  48015044 400626515
  80879014 109029653 437244674 314633338 230140971  32022136 293230445
 459024086 422202956 393990420   5215877   5558732 382384057 476454389
 119892705]",3037
Leichhardt,"[  6462282   6172276   2198824   4457100   2551056   3750190   7295333
    336693   1503015   9195124   9337849  10642428  11083190    612170
   5509209  14818272  10441624   5751656   4089777  15540898  17573518
  16508797  12431285  21436962  17862270  20459795  20669080  21614111
  22260507   2964038  24379769  24216399  21783619  24848011  23950415
  26502654  22420009  26877322   1903447   4371019  32016875  30075514
  28548677   9315768  22624529  30737338  30743975  27824622  24098428
  33327966  31053891  35668895  36305677   5078500   3438422   1387518
  12713328  20413208   2847618  41892739  15983971   1173122  40191005
  43924933  42078444  24927135  42651297   2939650  44641922  46965093
  40763314   3689448    451640   5372126  35365532   6949174   5506744
  49056096  21195292  48316233  48919243  23355884  47971243  49512073
   7120607   2863393  49956078   7158208  50940295   3531036  50771576
  51612002  41885379  51262186  18375003  51352486   8696474  10043930
  37006544  23088731  42440269  54284471  42092874  54238517  57496246
  25776205  29487058  55844513  59831586  62840903  44893456  61737025
  36416262  25783432  35533983  58410717  47052497   8480982  64703095
  53610923  65396019  14919873  20599187  70241112  68319576  68912465
   6154873   9585895  37182123  81248111  13331818  86216511  59510879
    276057  30134150  83630467  21385139  72979887   9945208  40332390
  79987613  43261208  10304326  15739069  12333473  17893608  95787190
   7783357  40455900    330564  98096849 105162128  86966476  31238287
   2695314  72255659 106058091 104964203 109571186 109579728 113143601
   9670630   2863862  10863960   4194823   5029279  21992809 111978248
   7242992 118045490  46529244  12999784   4020551 122593379   1629446
 127145123  78942363  41215678 130359104  15500187 112303847 132746851
  19140247 133048295 138645722   3168740  95785174  24522672  24641809
  27710341   8885522  41698957  39556991  14481318    333594  22664699
  17428941  35873854  38645361  52368313 152375469  98189758 156619373
 155697979   8505572 157753513  46443427  49229298  52777370 160109981
  30826561 160353145  14029037 160353600 101139031 162208384  65363048
  15295734 112951993  28187200  13503666 113511407   3475606   1645567
  26437447  15452134 170467578 171726292 174083618  16572479    783627
 103385102 293526132   4206146 168769464 136656739  38397412 283498077
 103069716 129492488 183232078  62293382  44315316  29830045  14022787
 191324045 182120012  46760362 279001183  35071153  12629596  55495274
   9014128   6927387 106871364  20354515 211926378   7785937 212364575
 228164763 174478213  54405222  69473169  96132655   9474384 222608832
  47350973  11281602 218321838  30630603  24024016 108514087   9256397
  15788888  37867004 153220201  31579704  24709114   7816038 236673690
  25435117 152112206  51169476 242035828 245024362  37121587  40234531
  42180057  26889489  68154963 255190629 117548275  56868488 257879416
  31885520  21713143 407392360  16924303  24426637 268911428   9392383
 283041803 218668118 222530794 196796260 105391650 287985609 233378046
 180583953  20622543  24303365   7832821 209657376 225803392  10938022
  32152368  51873028 312922710 112480048  89055266 300991619 266682138
 123472783  11365626 118036171  27140964  19004214 122818701  50623476
  27466527  34788301  56938276 374847252   1739066 214569967  66427480
  13014749 181388640  29353391  69309851 107915478  26704977 221908770
   1326417 403755543  23692930   3882146 422605393  11176494  23329019
  43607804  33786992   1459654 435907952 109269964 102664004  42340063
 444693222  20191263  11168773    510119 449454507 393990420 157455556
 452061547 251905190   4681456 300638516 185783910 457048349   1829010
   5231559 147135816  96522971 303324140  38478183  84564365  40831490
 137278159   6910764  25135066 456074342  97675949 382384057   5708648
   2115014   2655229 272130295   9793744 130403564  20089725 244650391
 117984855]",12600
Liverpool,"[ 12036565  14298987  41958690  53398524  60564638  70432007  45488071
  35512005  83679036 102007325 118285423  41423540 145261879 148190637
 120285107 155172932 158364840  77834465  15458477 170664223 150903694
 129361793  85380458 186407205 194807434  91223365 185610151  88381402
  81216491 233484010 247067928 176319513  28304255  49403985 119485882
 222530794 109579728 105772764 273399509 100850872 184700446  32013730
 306704795 107963111 312193305  44794102 326988066 327997734 338436790
 311945375 199865500 143050639 324690342 353157314  58625285 112005318
 192978912 229156319 396286923 102122197 268995141 324829000 391352628
 227934584 228486386 165505845 440949034 269624020  51547356  53625508
 301778313 155300105  59218602 102664004 310586330 471081994 475784592
 118592082]",1915
