neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ward 1,39,4421
Ward 2,30,4092
Ward 3,13,624
Ward 4,20,1411
Ward 5,20,1368
Ward 6,9,313
Ward 7,27,2582
Ward 8,23,979
