median,max,min,first_quantile,last_quantile
144.0,7500.0,10.0,100.0,209.0
26.0,389.0,0.0,25.0,62.0
73.0,10000.0,20.0,52.0,115.0
48.0,176.0,25.0,35.0,54.0
