room_type,median,max,min,first_quantile,last_quantile
Entire home/apt,85.0,40000.0,15.0,65.0,120.0
Hotel room,150.0,1309.0,0.0,125.0,167.5
Private room,50.0,3500.0,10.0,39.0,74.5
Shared room,41.5,2000.0,12.0,35.0,76.5
