neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ward 108,[176654320 302440258],0
Ward 109,"[ 41362943 120675688  88647379  96043398 204990361  81883234 237776708
 160977785 266757789 146686093  57728465  30254795 217735818 231459150
  10326702 168782142 362189645  82026431 342532024 123853586 187679847
 445195045  32885792]",384
Ward 11,"[ 40556342  61218735  99360778  92157881 112226466 152341955   6111977
  76753675 200408579 220857041 128280106 236211766 231577715 269948868
 264046656 317024897 321703660 387088745 226018997 449678294 471788352]",204
Ward 110,[ 46290903 150535765 203279928],4
Ward 111,[208678092 156416431 282504879 207081989 273554896 243066150 335544687],1
Ward 112,"[    60196   8774137   3006485   2758015  12928958  30900815  28803073
  42585507  47833028  49192803  60177810  63445611  50097816  73492693
  87093986  86867430  68347811 114515924 116041129 127685560 122153522
 108035325  60853592 147155812  47496957 154848204 158052295 174609238
 159935257 169228955 211845889  79958531 102667499 110423143 217030810
 111708332 246405299 124544172 258902921 262213764 271554283  63180250
 297518280 300718213  57222465 306698062 322661161 331693626 331109427
 164752428  74123509 232465700 133247032 377118801 290280121 216726700
 410057497 420038024 159318351 421666649 247592797  64719718 395587595
  51522079 391513906  34405072 420136479 448863803  82857905 164383790
 458174590 371078287 221749238 176315037 229850205   8104261 367790423
 479055715]",1630
Ward 113,"[  2782178   5295920  22209950  21831627  24959883  27720474   5806251
  43239406  44222109  44351056  24055403  16815045  52527425  52614672
  55875467  61905944  23100020  55489038  62896371  67037162  70338006
  35748606  49832252  71353285  20769129  79600452  78481922  18252437
  22492420  96968969  19904826  23479598 106377007 110793499 115926349
 116034838 113073738  83333812  57974043  86459488   1848610 121433793
 130821991 145476751 150715250 151570050 149353202 155726803 151119894
 111125212  82670084 161515286 166707395 130111478 167864060 173138513
 156564376 124005640 178927544 185340776 162558232 155193196 202951847
 196591911 162126397 210936740  66423445 219840437  61226442 219413217
 214976711 225431524 115943340 225417795  31361698 154513660 156994909
 226548135 239921529  47399890 245301199  13172053  56732887 235220371
  81510026  28973736 226173521 250883044 125537039  27945950 122458658
 266723372  12872064 269641606 280294248 285300353 274977230 186128991
  97564026  92209806 254470548 248041032  60639042 307195436 306327207
 292763977 309124494 310182624  46238715  51431910 316442701 272522283
 303919837 321752132 160815822 319143971 226276099  57863837 329543087
 115112019  54182179  49601419 334634145 196314642 321768323 228651390
 347117605 343283061 135671659 189072217 104530505 374152944 377358893
 223320545 380011848 232793988 255447270 286324657 157900434 261535066
 392772905 392945196 338924635 313110707 407039097 227282924 413133697
 418009095 421114933 154405234 278523731 423860035 422733294 113366995
 431699075 433121933 320152783 146764970 138983588   3961453  96779051
 438748390 236524243 432915588 167781373 444934118  49314093 246558478
 267841866 312776268 451929107 151105063 403213415  17411527 454291197
  11641303  75048041 457932397 376711351  61768961 186503020 275516609
 467927857  23829559 315924414 472786884 160956761 363760135 473028186
 478385286  49784684]",2642
Ward 114,[243250390],0
Ward 115,[153468006   2516345 101060614 ... 137815247  51711995 479637174],112423
Ward 116,[ 87746061 138677914 150405626 290760697 221843489 371066709],11
Ward 12,[271451732 273862087 288821449 114854722],12
Ward 14,"[429231288 117484992  62104867  64257231 380535142 155207302 245896483
  10203726  40013122  45560724  50998471  51971527  97513102  59856203
 120675688 149348447  12346620 102348600 184731138 224769867 143708055
 252294468 369483467 293906340 409297795  63201569 454106485 473577368
  23276018  91796360]",535
Ward 15,"[ 58287766  16034516 101253592 129735142  37295377  98554302  44981358
 157598112  15618792  29915605  61746116  29149793 144547261 432730733
   9370310   8247910  16628321  22442489  22223737  22689406  25730782
  12394708  27113270  26467682  28949897  31701156  29680002  39827767
  41934179  45214198  48786459  48999827  37960848  49391330  43017700
  51631857  56174862  58547821  26654627  64551925  29548246  51403484
  39404251  70113743  32061156  71690445   6487112   2508538  78082164
  78481503  86024668  86065824  87082664  87183751  92404408  93373397
  78543735  72520536  95080663  96833127  95688831  63708401  96811566
  39109385 100647533  88487289  99215887 102200042 102316618  99039892
 103494126  57769908  58034713 103984924  86982531   7625097  23115093
  79430695 105106750  17509263 100162235    224616  83640652 110463766
 114019351 111916258 112047508 112098405 112844540 114520633 116667747
 113504626   7492478 119454819 121083124 116565912 128806238  99487919
  39798621 147038220 100065460  45718708 148384515 151927784 106481084
   8567672 152136073  35208080  73548286 157448733 104070053  31318274
  47088908  68269028 162493413 164925604 169884843 165207961 105835661
 176030693 172789264 174863967  15069893  82238364 126791145 160464031
 183111721  95478829 105677552 146796246  91419906 137635455 199545595
 195156622 197897140 198436684  38445588 145447619 214598558 215646272
   6263781  67137846  31978819 226069106 150581912 224631675 224923608
  89054743 110144023 130692801 167741524 239798045 238421884 244852495
 249338818 226356055 224759233  41597675 100620862  24768026 170552204
 226777081 212490054 269559686  13293956  98137489  38559551  11625734
  49969526 190053168  88248735  27171262 158992368 252509700 288829735
 289320996  62377763  60463521 182923332  70162843 206397932  28294547
 158672664  96809977  78240924  18639087 300701134 138571164 307827045
  32098435 308135851 308140773 308223690  91153719 308633050 118088698
 311120593 225397823 150954671 154444125  24614337 325841515 115696634
 322558667 333127763 169244246  75968015 338805692 329660419 260134279
  67339188 189567772 351817163  29498379 331870052  62774067 371078287
 375752833  52619952  83849655  17357414  46952287 333321296 378618111
  79988009 368107497 382967527 339162600 390610216 398167307 378434552
 264888170 418991266  82026431 264278244 246941120 424133171 107315789
 103787917 422827133 147923851 254898710 355658822  44015147 430929834
 431982263  66866815 155506033 217735818 153203703 436168982 281646889
 154279041  21027344 395587595 319109551 283656287 445029322  34887102
 237526069 235852685  84853681 384898754 335829120  63069960 452068765
 152943988 146463552 140022613 440277466 203516773 455156247  23929434
 477330572 100716894 368670223 125005253  58289579  48846806 129446803
 187259111  45635936]",5363
Ward 16,[216694348 301702590 433890535 282805099 463258232],1
Ward 17,[218371771 268069212 113973903  68873011],2
Ward 18,[142439849 355770958],3
Ward 19,[172281904 161421065 254009468 134692077],15
Ward 2,"[    71221  29775158  35308129  49467538  50839475  65340686  65371456
  60338781  39713242 104361548   1825343 107639548    134594 119340228
 103178190 128868178  57350318 143649770 156125829 172767578 173313853
 203564857 209779384 130412782 230195442 114963602 226285363  69362350
 237192289 237378569  75221365 236072792 237614356 239703812 235513049
 250490515  24469972 259816588 261490590 177968499 260743103 272942745
 276512162 285374428 286152157 228341184 284957246 234584417 298601948
 261292961  28621788  40921478 309009025 236752067 229272985 329069512
 240929506 132430153 298984900  51573026 341686124 337880898  23414548
   6871685 210110883  54756438 106588150   2336751 384031481 208899240
 299992602 431607301 432735498 436913132 446282893 440400278 181624083
 453976771  64390428 312492799 324778198 379188455  46682459 145548690
 459365662 470349349  74093209 477539178 115771642]",810
Ward 21,"[  3812467   2600948  25257114  37632571  43513512  37767490  46127058
  49685229   7516920  34906871  34174006  74740638  74790664  73013529
  87261243  51990874  90575812  95006820  40522728 105680371 105200904
 105889541 111076919  59907364  40943088 118609224 116400101 120356557
 102218818 127139932 130554864 132581534 151220824 115112618 153412487
 154553934  24750885 180279086 178559076   9916144 206930483 207337625
 116552358 106671211 211132384  49776188 212784730 222497036 139706945
  58652862 224919505 229674925 235406113 229072187 242275825 127790424
 244040536 131470349 241199933 246145095 242042186 239907469 229976526
 268153434    694514 245028328 211090674 298049741 296340103 299487167
 293379411 235595543 307892364 310399909 167030926  49972500 219275895
 315882199 160617724 309482111 326975711  92987177 333321508 334259243
 297720044 337880898 333108204 344001251 367030946 219203332 138350407
 377917374 250807257 399027671 235855919 419974623 181125072  20602791
 428744558 219894316 107046549 361894000 435444432 264431411 306411336
 155225702  15845206 178640871 427602430 476353582 476525777 380071344]",2613
Ward 22,[376967867 254493042 376954067 310223919 477650068],10
