points,Number
0.0,34
0.25,21
0.5,2388
0.75,331
1.0,8494
1.25,19
1.5,719
1.75,5
2.0,3268
2.25,5
2.5,318
3.0,187
3.5,111
4.0,50
4.5,44
5.0,12
5.5,8
6.0,8
6.5,4
7.0,1
7.5,2
