points,Number
0.0,38
0.25,2
0.5,546
0.75,105
1.0,7226
1.25,15
1.5,607
1.75,15
2.0,2449
2.25,15
2.5,186
3.0,293
3.5,57
3.75,3
4.0,87
4.5,27
5.0,52
5.5,13
6.0,20
6.5,5
7.0,11
7.5,2
8.0,7
8.5,3
9.0,3
10.0,1
11.0,1
16.0,1
