points,points
0.0,9
0.5,27
0.75,5
1.0,1165
1.5,234
2.0,1560
2.5,442
3.0,421
3.5,139
4.0,73
4.5,20
5.0,23
5.5,3
6.0,12
6.5,2
7.0,1
7.5,1
8.0,1
