points,Number
0.0,16
0.25,17
0.5,588
0.75,267
1.0,1656
1.25,27
1.5,430
1.75,9
2.0,1010
2.5,151
3.0,92
3.5,27
4.0,16
4.5,10
5.0,7
5.5,4
6.0,4
6.5,1
9.5,1
13.5,1
