,price,price,price,price,price
,median,max,min,first_quantile,last_quantile
room_type,,,,,
Entire home/apt,175.0,7900.0,15.0,133.0,225.0
Hotel room,109.0,999.0,0.0,75.0,180.0
Private room,125.0,999.0,31.0,100.0,150.0
Shared room,75.0,500.0,45.0,70.0,100.0
